,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Johnsons Nmt Shampoo,https://hummart.com/johnsons-nmt-shampoo-500ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3574660500868.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",669,-1,BABY & KIDS,Hum Mart
1,Nestle Lactogen 1 Baby Powder,https://hummart.com/nestle-lactogen-1-baby-powder.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages8961008213446.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",545,-1,BABY & KIDS,Hum Mart
2,Nestle Lactogrow 3 Growing Up Formula,https://hummart.com/nestle-lactogrow-3-growing-up-formula.html,"https://hummart.com/media/catalog/product/8/9/8961008214054.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",549,-1,BABY & KIDS,Hum Mart
3,Huggies Ultra Diapers Small Pack - 70Pcs,https://hummart.com/huggies-ultra-diapers-small-pack-70pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888336015613.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2299,-1,BABY & KIDS,Hum Mart
4,Huggies Ulta Diapers Medium Pack - 60Pcs,https://hummart.com/huggies-ulta-diapers-medium-pack-60pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888336019062.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2879,-1,BABY & KIDS,Hum Mart
5,Huggies Dry Diapers Medium Pack - 74Pcs,https://hummart.com/huggies-dry-diapers-medium-pack-74pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888336015354.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2599,-1,BABY & KIDS,Hum Mart
6,Huggies Dry Diapers Small Pack - 60Pcs,https://hummart.com/huggies-dry-diapers-small-pack-60pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888336015002.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1735,-1,BABY & KIDS,Hum Mart
7,Huggies Ultra Pants For Girls Xl Pack - 38Pcs,https://hummart.com/huggies-ultra-pants-for-girls-xl-pack-38pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8801166307079.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2579,-1,BABY & KIDS,Hum Mart
8,Huggies Ultra Pants For Boys L Pack - 44Pcs,https://hummart.com/huggies-ultra-pants-for-boys-l-pack-44pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8801166307048.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1999,-1,BABY & KIDS,Hum Mart
9,Babyjoy Culotte Large 4+,https://hummart.com/babyjoy-culotte-large-4-22-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6223004790782.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",495,-1,BABY & KIDS,Hum Mart
