,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Del Monte Pineapple Juice  - 1.36 Ltr ,https://hummart.com/del-monte-pineapple-juice-1-36-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024562739.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",420,-1,Beverages,Hum Mart
1,Abbott Ensure Powder Vanilla - 850g,https://hummart.com/abbott-ensure-powder-vanilla-850g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8710428002051.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2365,-1,Beverages,Hum Mart
2,Hamdard Rooh Afza - 800ml,https://hummart.com/hamdard-rooh-afza-800ml.html,"https://hummart.com/media/catalog/product/8/9/8964000122105.png?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",220,-1,Beverages,Hum Mart
3,Dasani Water Pet Bottle - 1.5L,https://hummart.com/dasani-water-pet-bottle-1-5l.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5449000098504.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",48,-1,Beverages,Hum Mart
4,Dasani Water Pet Bottle - 500ml,https://hummart.com/dasani-water-pet-bottle-500ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia87303322.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",26,-1,Beverages,Hum Mart
5,Tapal Lemon Grass Jar Pack - 100g,https://hummart.com/tapal-lemon-grass-jar-pack-100g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia815096001981.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",141,-1,Beverages,Hum Mart
6,Tapal Strawberry Green Tea Bag - 45g,https://hummart.com/tapal-strawberry-green-tea-bag-45g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia815096002148.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",89,-1,Beverages,Hum Mart
7,Nestle Fruita Vitals Chaunsa Fruit Nectar - 200ml,https://hummart.com/nestle-fruita-vitals-chaunsa-juice-200-ml.html,"https://hummart.com/media/catalog/product/8/9/8961008209890_2.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",35,-1,Beverages,Hum Mart
8,Nescafe Classic Coffee Tin 475Gm,https://hummart.com/nescafe-classic-coffee-tin-475-gm.html,"https://hummart.com/media/catalog/product/7/8/7891000098356.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1730,-1,Beverages,Hum Mart
9,Nestle Fruita Vitals Chaunsa Fruit Nectar Bottle - 1000Ml,https://hummart.com/nestle-fruita-vitals-chaunsa-juice-bottle-1-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961008211190.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",180,-1,Beverages,Hum Mart
10,Nestle Fruita Vitals Apple Fruit Nectar Bottle - 1000Ml,https://hummart.com/nestle-fruita-vitals-apple-juice-bottle-1-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961008211220.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",180,-1,Beverages,Hum Mart
11,Nestle Fruita Vitals Kinnow Fruit Nectar Bottle - 1000Ml,https://hummart.com/nestle-fruita-vitals-kinnow-juice-bottle-1-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961008211244.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",180,-1,Beverages,Hum Mart
12,Tapal Danedar Enveloped Teabags,https://hummart.com/tapal-danedar-enveloped-teabags-100g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia815096001691.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",270,-1,Beverages,Hum Mart
