,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,LU Zeera Plus Family Pack,https://hummart.com/lu-zeera-plus-family-pack.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961003011016.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",33,-1,Biscuits Snacks Chocolates,Hum Mart
1,BUY 3 GET 1 FREE Lays Yoghurt and Herb,https://hummart.com/buy-3-get-1-free-lays-yoghurt-and-herb.html,"https://hummart.com/media/catalog/product/1/0/100904.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",240,-1,Biscuits Snacks Chocolates,Hum Mart
2,Freshup Spermint 7 Pcs - ,https://hummart.com/freshup-spermint-7-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961100280421.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",196,-1,Biscuits Snacks Chocolates,Hum Mart
3,Hilal Super Sour Candy - 70 Pcs,https://hummart.com/hilal-super-sour-candy-70-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961100285457.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",72,-1,Biscuits Snacks Chocolates,Hum Mart
4,Lays Yog & Herb Chips - 70g,https://hummart.com/lays-yog-herb-chips-70-gm.html,"https://hummart.com/media/catalog/product/8/9/8964000103807_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",60,-1,Biscuits Snacks Chocolates,Hum Mart
5,Paradise Chocolate Box - 18Pcs,https://hummart.com/paradise-chocolate-box-18pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia870572005112.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",165,-1,Biscuits Snacks Chocolates,Hum Mart
6,Freshup Spearmnt 7 Pcs,https://hummart.com/freshup-spearmnt-7-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961100283774.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",13,-1,Biscuits Snacks Chocolates,Hum Mart
7,Wah Mix Nimco - 200gm,https://hummart.com/wah-mix-nimco-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095026.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",120,-1,Biscuits Snacks Chocolates,Hum Mart
8,Wah Daal Moth - 24gm,https://hummart.com/wah-daal-moth-24gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095064.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",10,-1,Biscuits Snacks Chocolates,Hum Mart
9,Wah Daal Moth - 200gm,https://hummart.com/wah-daal-moth-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095088.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",115,-1,Biscuits Snacks Chocolates,Hum Mart
10,Wah Moong Daal - 200gm,https://hummart.com/wah-moong-daal-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095279.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",101,-1,Biscuits Snacks Chocolates,Hum Mart
11,Wah Daal Chana - 200gm,https://hummart.com/wah-daal-chana-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095309.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",115,-1,Biscuits Snacks Chocolates,Hum Mart
12,Wah Gathia - 200gm,https://hummart.com/wah-gathia-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095392.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",115,-1,Biscuits Snacks Chocolates,Hum Mart
13,Wah Salty Chewra - 150gm,https://hummart.com/wah-salty-chewra-150gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095422.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",115,-1,Biscuits Snacks Chocolates,Hum Mart
14,Wah Bareek Sev - 200gm,https://hummart.com/wah-bareek-sev-200gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001095439.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",130,-1,Biscuits Snacks Chocolates,Hum Mart
