,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,BUY Dollar Permenant Marker Black 12 Pcs GET Dollar Permenant Marker Black 5 Pcs FREE,https://hummart.com/buy-dollar-permenant-marker-black-12-pcs-get-dollar-permenant-marker-black-5-pcs-free.html,"https://hummart.com/media/catalog/product/1/0/100817.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",299,-1,Furnishing Home Needs,Hum Mart
1,Osaka Correction Pen,https://hummart.com/osaka-correction-pen.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6950126117202.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",75,-1,Furnishing Home Needs,Hum Mart
2,Crystal Executive Stamp Pad Large,https://hummart.com/crystal-executive-stamp-pad-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia7723279326888.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",70,-1,Furnishing Home Needs,Hum Mart
3,Diamond Binder Clip 2 Width 51Mm,https://hummart.com/diamond-binder-clip-2-width-51mm-12-pieces.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia36332519.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",185,-1,Furnishing Home Needs,Hum Mart
4,Amos Glitter Glue 5 Color Confitti,https://hummart.com/amos-glitter-glue-5-color-confitti-pack-of-5.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6634226348956.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",105,-1,Furnishing Home Needs,Hum Mart
5,Diamond Binder Clip 1,https://hummart.com/diamond-binder-clip-1-5-8-width-41mm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia36332410.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",120,-1,Furnishing Home Needs,Hum Mart
6,Sapphire Spare Blade Large,https://hummart.com/sapphire-spare-blade-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia11098.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",45,-1,Furnishing Home Needs,Hum Mart
7,Omega Stand Art Glitter Glue,https://hummart.com/omega-stand-art-glitter-glue-pack-of-4.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia11099.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",84,-1,Furnishing Home Needs,Hum Mart
8,Diamond Binder Clip 1,https://hummart.com/diamond-binder-clip-1-12-pieces.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia36332328.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",121,-1,Furnishing Home Needs,Hum Mart
9,Motex Price Labeller Machine Mx5500,https://hummart.com/motex-price-labeller-machine-mx5500-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia11100.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",539,-1,Furnishing Home Needs,Hum Mart
