,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Moti Dana  XXL White Basmati Rice 5kg,https://hummart.com/moti-dana-xxl-white-basmati-rice-5-kg.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8254179585475.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",820,-1,Grocery & Staples,Hum Mart
1,Moti Dana Super Kernal Basmati Rice 5kg,https://hummart.com/moti-dana-super-kernal-basmati-rice-5-kg.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8254179582887.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",780,-1,Grocery & Staples,Hum Mart
2,Moti Dana Daily Basmati Rice 5kg,https://hummart.com/moti-dana-daily-basmati-rice-5-kg.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8254179515489.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",525,-1,Grocery & Staples,Hum Mart
3,Coroli Sunflower  - 3 Ltr,https://hummart.com/coroli-sunflower-3-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291059228581.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1499,-1,Grocery & Staples,Hum Mart
4,Coroli Corn Oil  - 10 Ltr,https://hummart.com/coroli-corn-oil-10-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8710824181213.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",4223,-1,Grocery & Staples,Hum Mart
5,Coroli Corn Oil  - 5 Ltr,https://hummart.com/coroli-corn-oil-5-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291059061447.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",2250,-1,Grocery & Staples,Hum Mart
6,Coroli Corn Oil  - 4 Ltr,https://hummart.com/coroli-corn-oil-4-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291059028914.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1909,-1,Grocery & Staples,Hum Mart
7,Coroli Corn Oil  - 3 Ltr,https://hummart.com/coroli-corn-oil-3-ltr.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291059028280.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1544,-1,Grocery & Staples,Hum Mart
8,Jazaa Sella Rice - 5kg,https://hummart.com/jazaa-sella-rice-5kg.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001207078.png?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1195,-1,Grocery & Staples,Hum Mart
9,Jazaa Ginger Paste - 330g,https://hummart.com/jazaa-ginger-paste-330g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964001207221.png?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",190,-1,Grocery & Staples,Hum Mart
