,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Spontex Protector Pack Of Latex Gloves Large,https://hummart.com/spontex-protector-pack-of-latex-gloves-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245422181983.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",224,-1,Home Kitchen,Hum Mart
1,Spontex Multipurpose Cleaning Cloth - Single Unit,https://hummart.com/spontex-multipurpose-cleaning-cloth-single-unit.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3384121115094.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",279,-1,Home Kitchen,Hum Mart
2,Spontex Multipurpose Cloth - Pack of 4,https://hummart.com/spontex-multipurpose-cloth-pack-of-4.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3384121223027.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",336,-1,Home Kitchen,Hum Mart
3,Spontex Oval Bucket With Wringer,https://hummart.com/spontex-oval-bucket-with-wringer-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3384129021007.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1499,-1,Home Kitchen,Hum Mart
4,Super Hockey Safety Matches Pack,https://hummart.com/super-hockey-safety-matches-pack-10-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia10853.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",30,-1,Home Kitchen,Hum Mart
5,Tesco Touch Gloves Large,https://hummart.com/tesco-touch-gloves-large-1-pair.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5018374131447.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",282,-1,Home Kitchen,Hum Mart
6,Spontex Protector Pack Of Latex Gloves Medium,https://hummart.com/spontex-protector-pack-of-latex-gloves-medium-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245422181976.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",224,-1,Home Kitchen,Hum Mart
7,Spontex Trios Latex Gloves Size Large - Pack of 3,https://hummart.com/spontex-trios-latex-gloves-size-large-pack-of-3.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245422135467.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",219,-1,Home Kitchen,Hum Mart
8,Spontex Multipurpose Cotton Gloves Large,https://hummart.com/spontex-multipurpose-cotton-gloves-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245421161580.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",127,-1,Home Kitchen,Hum Mart
9,Spontex Wash Ups Cotton Gloves Medium,https://hummart.com/spontex-wash-ups-cotton-gloves-medium-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245421372573.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",209,-1,Home Kitchen,Hum Mart
10,Spontex Wash Ups Cotton Gloves Large,https://hummart.com/spontex-wash-ups-cotton-gloves-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245421372580.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",189,-1,Home Kitchen,Hum Mart
11,Spontex Sensitive Perfect Gloves Large,https://hummart.com/spontex-sensitive-perfect-gloves-large-1-piece.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245421944169.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",159,-1,Home Kitchen,Hum Mart
12,Spontex Trios Latex Gloves Medium - Pack of 3,https://hummart.com/spontex-trios-latex-gloves-medium-pack-of-3.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3245422135443.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",265,-1,Home Kitchen,Hum Mart
13,Spontex Handy Grip Gloves,https://hummart.com/spontex-handy-grip-gloves-1-pair.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages3384121512039.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",35,-1,Home Kitchen,Hum Mart
