,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Walls Magnum Chocolate And Strawberry,https://hummart.com/walls-magnum-chocolate-and-strawberry-90-ml.html,"https://hummart.com/media/catalog/product/m/a/magnum_strawberry_ch_kjcas.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",110,-1,Ice Creams,Hum Mart
1,Walls Magnum Classic - 90ml,https://hummart.com/walls-magnum-classic-90ml.html,"https://hummart.com/media/catalog/product/8/9/8961014002768.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",110,-1,Ice Creams,Hum Mart
2,Walls Magnum Almond - 80ml,https://hummart.com/walls-magnum-almond-80ml.html,"https://hummart.com/media/catalog/product/8/9/8961014004922.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",110,-1,Ice Creams,Hum Mart
3,Walls One Pistachio - 800ml,https://hummart.com/walls-one-pistachio-800ml.html,"https://hummart.com/media/catalog/product/p/i/pista_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",240,-1,Ice Creams,Hum Mart
4,Walls Tub Strawberry Tickle - 800ml,https://hummart.com/walls-tub-strawberry-tickle-800ml.html,"https://hummart.com/media/catalog/product/8/9/8961014003697.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",335,-1,Ice Creams,Hum Mart
5,Walls Tub Almond & Crunch - 800ml,https://hummart.com/walls-tub-almond-crunch-800ml.html,"https://hummart.com/media/catalog/product/8/9/8961014003703.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",335,-1,Ice Creams,Hum Mart
6,Walls Tub Vanilla Chocolate - 800ml,https://hummart.com/walls-tub-vanilla-chocolate-800ml.html,"https://hummart.com/media/catalog/product/8/9/8961014003710.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",335,-1,Ice Creams,Hum Mart
7,Walls Cup Kings Kulfa - 100ml,https://hummart.com/walls-cup-kings-kulfa-100ml.html,"https://hummart.com/media/catalog/product/k/k/kk_cup.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
8,Walls Paddle Pop Vanilla Cup - 60ml,https://hummart.com/walls-paddle-pop-vanilla-cup-60ml.html,"https://hummart.com/media/catalog/product/v/a/vanilla_cup.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",20,-1,Ice Creams,Hum Mart
9,Walls Bucket Kings Kulfa - 1400ml,https://hummart.com/walls-bucket-kings-kulfa-1400ml.html,"https://hummart.com/media/catalog/product/8/9/8961014051582.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",470,-1,Ice Creams,Hum Mart
10,Walls 2 In 1 Badami Strawberry - 1400ml,https://hummart.com/walls-2-in-1-badami-strawberry-1400ml.html,"https://hummart.com/media/catalog/product/8/9/8961014051599.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",470,-1,Ice Creams,Hum Mart
11,Walls 2 In 1 Caramel Crunch Chocolate - 1400ml,https://hummart.com/walls-2-in-1-caramel-crunch-chocolate-1400ml.html,"https://hummart.com/media/catalog/product/8/9/8961014051605.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",470,-1,Ice Creams,Hum Mart
12,Walls One Tutti Fruiti - 800ml,https://hummart.com/walls-one-tutti-fruiti-800ml.html,"https://hummart.com/media/catalog/product/t/u/tutti.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",240,-1,Ice Creams,Hum Mart
13,Walls Creamy Delights Chocolate,https://hummart.com/walls-creamy-delights-chocolate-800-ml.html,"https://hummart.com/media/catalog/product/8/9/8961014051186.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",210,-1,Ice Creams,Hum Mart
14,Walls Donut Ice Cream,https://hummart.com/walls-donut-ice-cream-85-ml.html,"https://hummart.com/media/catalog/product/d/o/donut_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
15,Walls Choc Bar Ice Cream,https://hummart.com/walls-choc-bar-ice-cream-55-ml.html,"https://hummart.com/media/catalog/product/c/h/choc_bar_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",20,-1,Ice Creams,Hum Mart
16,Walls Jet Sport Ice Cream,https://hummart.com/walls-jet-sport-ice-cream-50-ml.html,"https://hummart.com/media/catalog/product/j/e/jet_sport_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",20,-1,Ice Creams,Hum Mart
17,Walls Feast Ice Cream,https://hummart.com/walls-feast-ice-cream-80-ml.html,"https://hummart.com/media/catalog/product/f/e/feast_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
18,Walls Strawberry Brick,https://hummart.com/walls-strawberry-brick-800-ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961014051179.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",210,-1,Ice Creams,Hum Mart
19,Walls Cornetto Classico,https://hummart.com/walls-cornetto-classico-100-ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961014014242.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
20,Walls Cornetto Double Chocolate,https://hummart.com/walls-cornetto-double-chocolate-100ml-1.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8961014014228.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
21,Walls Conetto Flirty Berry,https://hummart.com/walls-conetto-flirty-berry-100ml.html,"https://hummart.com/media/catalog/product/f/l/flirty_berry_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",50,-1,Ice Creams,Hum Mart
