,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Del Monte Pineapple Slices  - 822gm,https://hummart.com/del-monte-pineapple-slices-822gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024012302.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",389,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
1,Del Monte Whole Kernal Corn  - 410gm,https://hummart.com/del-monte-whole-kernal-corn-410gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024552020.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",239,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
2,Del Monte Fruit Cocktail  - 432gm,https://hummart.com/del-monte-fruit-cocktail-432gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024553850.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",219,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
3,Del Monte Fruit Cocktail  - 836gm,https://hummart.com/del-monte-fruit-cocktail-836gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024553867.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",310,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
4,Del Monte Black Slices Olives - 450gm,https://hummart.com/del-monte-black-slices-olives-450gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571588.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",375,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
5,Del Monte Green Pitted Olives  - 450gm,https://hummart.com/del-monte-green-pitted-olives-450gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571595.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",369,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
6,Del Monte Green Slices Olives  - 450gm,https://hummart.com/del-monte-green-slices-olives-450gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571601.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",358,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
7,Del Monte Green Stuffed+Pimento Olives  - 450gm,https://hummart.com/del-monte-green-stuffed-pimento-olives-450gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia4800024571618.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",389,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
8,Del Monte Black Pitted Olives  - 235gm ,https://hummart.com/del-monte-black-pitted-olives-235gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888111139664.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",243,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
9,Del Monte Black Slices Olives  - 235gm ,https://hummart.com/del-monte-black-slices-olives-235gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8888111139718.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",269,-1,NOODLES SAUCES & FROZEN FOODS,Hum Mart
