,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Tapal Tezdum Pouch,https://hummart.com/tapal-tezdum-pouch-950-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia815096000793.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",766,-1,Offers,Hum Mart
1,Buy Jazaa 5Kg Premium Basmati Rice Get 2 Coriander Powder Free,https://hummart.com/buy-jazaa-5kg-premium-basmati-rice-get-2-coriander-powder-free-1-unit.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia100378.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1171,-1,Offers,Hum Mart
2,Buy 2 Jazaa Elite Steam Rice 1Kg Get 1 Jazaa Red Chili Powder 50G Free,https://hummart.com/buy-2-jazaa-elite-steam-rice-1kg-get-1-jazaa-red-chili-powder-50g-free-1-unit.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia100506.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",525,-1,Offers,Hum Mart
3,BUY 2 Freedom Sanitary Napkins Ultra Thin Extra Long 14 Pcs GET Soft Pack 100 Sheets FREE,https://hummart.com/buy-2-freedom-sanitary-napkins-ultra-thin-extra-long-14-pcs-get-soft-pack-100-sheets-free.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia100631.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",465,-1,Offers,Hum Mart
4,BUY 2 Robin Liquid Blue 300 ml,https://hummart.com/buy-2-robin-liquid-blue-300-ml.html,"https://hummart.com/media/catalog/product/1/0/100712.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",330,-1,Offers,Hum Mart
5,BUY 2 Veet Silk & Fresh Dry Skin 100 gm,https://hummart.com/buy-2-veet-silk-fresh-dry-skin-100-gm.html,"https://hummart.com/media/catalog/product/1/0/100713.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",760,-1,Offers,Hum Mart
6,BUY 3 Airwick Lavender Air Fresheners 300 ml,https://hummart.com/buy-3-airwick-lavender-air-fresheners-300-ml.html,"https://hummart.com/media/catalog/product/1/0/100717.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",987,-1,Offers,Hum Mart
7,BUY Fanta (500 ml x 12) Carton GET Fanta Cap FREE,https://hummart.com/buy-fanta-500-ml-x-12-carton-get-fanta-cap-free.html,"https://hummart.com/media/catalog/product/f/a/fanta-bundle.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",616,-1,Offers,Hum Mart
8,BUY 2 GET 1 FREE Hankies Soft Pack 2 Ply 100 Sheets Tissues,https://hummart.com/buy-2-get-1-free-hankies-soft-pack-2-ply-100-sheets-tissues.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-299729-917918.cloudwaysapps.comimages100822.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",195,-1,Offers,Hum Mart
9, BUY 3 Lux Soap Purple Lotus 110 gm GET 1 FREE,https://hummart.com/buy-2-ponds-white-beauty-daily-spot-less-lightening-face-wash-100-gm-get-dove-soap-bar-135-gm-free.html,"https://hummart.com/media/catalog/product/1/0/100870.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",630,-1,Offers,Hum Mart
