,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Sunsilk Soft & Smooth Conditioner -  180ml,https://hummart.com/sunsilk-soft-smooth-conditioner-180ml.html,"https://hummart.com/media/catalog/product/s/o/soft-_-smooth-180-ml.png?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",199,-1,Personal Care,Hum Mart
1,LOreal Paris Total Repair 5 Styling Cream  - 200ml,https://hummart.com/l-oreal-paris-total-repair-5-styling-cream-200-ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia3610340029981.png?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",895,-1,Personal Care,Hum Mart
2,Dabur Red Toothpaste - 200g,https://hummart.com/dabur-red-toothpaste-200g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8901207000324.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",200,-1,Personal Care,Hum Mart
3,Dabur Amla Hair Oil - 100ml,https://hummart.com/dabur-amla-hair-oil-100ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5022496105002.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",170,-1,Personal Care,Hum Mart
4,Dabur Vatika Shampoo Argan - 200ml,https://hummart.com/vatika-shampoo-argan-200ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291069706376.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",230,-1,Personal Care,Hum Mart
5,Dabur Vatika Cactus Hair Oil - 100ml,https://hummart.com/dabur-vatika-cactus-hair-oil-100ml-100g.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291069705355.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",155,-1,Personal Care,Hum Mart
6,Cool & Cool Cleansings & Make Up Remover Removing Wipes - 33Pcs ,https://hummart.com/cool-cool-cleansings-make-up-remover-removing-wipes-33pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5060068550713.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",339,-1,Personal Care,Hum Mart
7,Cool & Cool Cotton Buds Asstd Colours Box - 200Pcs,https://hummart.com/cool-cool-cotton-buds-asstd-colours-box-200pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5060068552007.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",125,-1,Personal Care,Hum Mart
8,Cool & Cool Styling Gel Extra Strong - 150ml,https://hummart.com/cool-cool-styling-gel-extra-strong-150ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5060068558054.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",379,-1,Personal Care,Hum Mart
9,Cool & Cool Moisturizing Soap Aqua Fresh - 250ml,https://hummart.com/cool-cool-moisturizing-soap-aqua-fresh-250ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5060068550706.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",145,-1,Personal Care,Hum Mart
10,Cool & Cool Body Scrub (Butter Milk&Lemon)150Ml - 10Pcs,https://hummart.com/cool-cool-body-scrub-butter-milk-lemon-150ml-10pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia5060068558627.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",396,-1,Personal Care,Hum Mart
11,Dabur Vatika Hair Mayonnaise Hair fall Control - 500ml,https://hummart.com/dabur-vatika-hair-mayonnaise-hair-fall-control-500ml.html,"https://hummart.com/media/catalog/product/h/a/hair_fall_control.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1000,-1,Personal Care,Hum Mart
12,Vatika Hair Mayonnaise Extreme Moisturizing - 500ml,https://hummart.com/vatika-hair-mayonnaise-extreme-moisturizing-500ml.html,"https://hummart.com/media/catalog/product/e/x/extreme_moisturizing.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",1000,-1,Personal Care,Hum Mart
13,Vatika Hair Mayonnaise Repair & Restore - 500ml,https://hummart.com/vatika-hair-mayonnaise-repair-restore-500ml.html,"https://hummart.com/media/catalog/product/r/e/repair_restore.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",959,-1,Personal Care,Hum Mart
14,Me Body Spray Saxe,https://hummart.com/me-body-spray-saxe-120ml.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia6291101526573.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",265,-1,Personal Care,Hum Mart
15,Freedom Sanitary Napkins Ultra Thin Extra Long,https://hummart.com/freedom-sanitary-napkins-ultra-thin-extra-long-14-pcs.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia8964000053560.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",200,-1,Personal Care,Hum Mart
16,BUY 2 Freedom Sanitary Napkins Ultra Thin Extra Long 14 Pcs GET Soft Pack 100 Sheets FREE,https://hummart.com/buy-2-freedom-sanitary-napkins-ultra-thin-extra-long-14-pcs-get-soft-pack-100-sheets-free.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia100631.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",465,-1,Personal Care,Hum Mart
