,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,9Lives Meaty Pate With Real Turkey & Giblets Cat Food Tin,https://hummart.com/9lives-meaty-pate-with-real-turkey-giblets-cat-food-tin-pack-of-4.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia07935914.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",631,-1,Pet Care,Hum Mart
1,Fancy Feast Chicken and Beef Feast in Gravy Grilled Cat Food,https://hummart.com/fancy-feast-chicken-and-beef-feast-in-gravy-grilled-cat-food-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000102167.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
2,Fancy Feast Chicken Feast in Gravy Grilled Cat Food Tin,https://hummart.com/fancy-feast-chicken-feast-in-gravy-grilled-cat-food-tin-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000040803.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
3,Fancy Feast Ocean White Fish and Tuna Feast in Gravy Grilled Cat Food,https://hummart.com/fancy-feast-ocean-white-fish-and-tuna-feast-in-gravy-grilled-cat-food-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000100842.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
4,Fancy Feast Salmon and Shrimp Feast in Gravy Grilled Cat Food,https://hummart.com/fancy-feast-salmon-and-shrimp-feast-in-gravy-grilled-cat-food-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000102068.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
5,Fancy Feast Tuna Feast Flaked Cat Food,https://hummart.com/fancy-feast-tuna-feast-flaked-cat-food-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000001248.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
6,Fancy feast Turkey Feast Chunky Tin Cat Food,https://hummart.com/fancy-feast-turkey-feast-chunky-tin-cat-food-85-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia050000040407.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",237,-1,Pet Care,Hum Mart
7,Meow Mix Cat Food Kitten Li'L Nibbles,https://hummart.com/meow-mix-cat-food-kitten-li-l-nibbles-510-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia829274007092.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",512,-1,Pet Care,Hum Mart
8,Meow Mix Cat Food Original Choice,https://hummart.com/meow-mix-cat-food-original-choice-510-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia829274454186.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",512,-1,Pet Care,Hum Mart
9,Meow Mix Cat Food Sea Food Medley,https://hummart.com/meow-mix-cat-food-sea-food-medley-510-gm.html,"https://hummart.com/media/catalog/product/h/t/httpphpstack-143539-415191.cloudwaysapps.commedia829274512312.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",512,-1,Pet Care,Hum Mart
