Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
11,BazingaPK Paper Pack For Printing Photocopy 70gm - 500 Sheets,https://www.ishopping.pk/bazingapk-paper-pack-for-printing-photocopy-500-sheets-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/bazingapk_paper_pack_for_printing_photocopy_70gm_-_500_sheets.jpg,A4 Paper,ishopping,1599,799
20,Double A A4 Paper 2500 Sheets 70gsm,https://www.ishopping.pk/double-a-a4-paper-2500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/o/double_a_a4_paper_2500_sheets_70gsm.jpg,A4 Paper,ishopping,3975,-1
21,Double A A4 Paper 2500 Sheets 80gsm,https://www.ishopping.pk/double-a-a4-paper-2500-sheets-80gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/o/double_a_a4_paper_2500_sheets_80gsm.jpg,A4 Paper,ishopping,4125,-1
24,Double A A4 Paper 500 Sheets 70gsm,https://www.ishopping.pk/double-a-a4-paper-500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/o/double_a_a4_paper_500_sheets_70gsm.jpg,A4 Paper,ishopping,795,-1
25,Double A A4 Paper 500 Sheets 80gsm,https://www.ishopping.pk/double-a-a4-paper-500-sheets-80gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/o/double_a_a4_paper_500_sheets_80gsm.jpg,A4 Paper,ishopping,825,-1
28,HP A4 Printer Paper 500 Sheets 70gm,https://www.ishopping.pk/hp-a4-printer-paper-500-sheets-70gm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_a4_printer_paper_500_sheets_70gm.jpg,A4 Paper,ishopping,999,-1
17,Hp A4 Office Paper 2500 Sheets 70gsm,https://www.ishopping.pk/hp-a4-office-paper-2500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_a4_paper_2500_sheets_70gsm.jpg,A4 Paper,ishopping,3975,-1
18,Hp A4 Office Paper 500 Sheets 70gsm,https://www.ishopping.pk/hp-a4-office-paper-500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_a4_paper_500_sheets_70gsm.jpg,A4 Paper,ishopping,695,-1
13,M Toys Colored A4 Paper Orange Pack Of 100 80gsm,https://www.ishopping.pk/m-toys-colored-a4-paper-orange-pack-of-100-80gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_colored_a4_paper_orange_pack_of_100_80gsm.jpg,A4 Paper,ishopping,395,-1
14,M Toys Colored A4 Paper Peach Pack Of 100 80gsm,https://www.ishopping.pk/m-toys-colored-a4-paper-peach-pack-of-100-80gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_colored_a4_paper_peach_pack_of_100_80gsm.jpg,A4 Paper,ishopping,395,-1
12,M Toys Colored A4 Paper Yellow Pack Of 100 80gsm,https://www.ishopping.pk/m-toys-colored-a4-paper-yellow-pack-of-100-80gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_colored_a4_paper_yellow_pack_of_100_80gsm.jpg,A4 Paper,ishopping,395,-1
15,M Toys Copymate A4 Paper 2500 Sheets 70gsm,https://www.ishopping.pk/m-toys-copymate-a4-paper-2500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_copymate_a4_paper_2500_sheets_70gsm.jpg,A4 Paper,ishopping,3475,-1
16,M Toys Copymate A4 Paper 500 Sheets 70gsm,https://www.ishopping.pk/m-toys-copymate-a4-paper-500-sheets-70gsm-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_copymate_a4_paper_500_sheets_70gsm.jpg,A4 Paper,ishopping,695,-1
9,M Toys Stationary & Art Package For Kids Upto Grade 6 (0757),https://www.ishopping.pk/m-toys-stationary-art-package-kids-upto-grade-6-0757-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_stationary_art_package_for_kids_upto_grade_6_0757_.jpg,A4 Paper,ishopping,1800,-1
8,M Toys Stationary & Art Package For Kids Upto Grade 6 (0758),https://www.ishopping.pk/m-toys-stationary-art-package-kids-upto-grade-6-0758-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_stationary_art_package_for_kids_upto_grade_6_0758_.jpg,A4 Paper,ishopping,1750,-1
7,M Toys Stationary & Art Package For Kids Upto Grade 6 (0763),https://www.ishopping.pk/m-toys-stationary-art-package-kids-upto-grade-6-0763-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_stationary_art_package_for_kids_upto_grade_6_0763_.jpg,A4 Paper,ishopping,800,-1
