Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
531,,,,,A4Tech Bloody G500 Combat Gaming Headphone,https://www.ishopping.pk/a4tech-bloody-g500-combat-gaming-headphone-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_bloody_g500_combat_gaming_headphone.jpg,Accessories,ishopping,4340,-1
839,,,,,A4Tech Bloody G528C RGB Gaming Headphone Black,https://www.ishopping.pk/a4tech-bloody-g528c-rgb-gaming-headphone-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_bloody_g528c_rgb_gaming_headphone_black.jpg,Accessories,ishopping,4140,-1
533,,,,,A4Tech Bloody Q1300 RGB Gaming Keyboard & Mouse Combo,https://www.ishopping.pk/a4tech-bloody-q1300-keyboard-mouse-combo-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_bloody_q1300_rgb_gaming_keyboard_mouse_combo.jpg,Accessories,ishopping,4250,-1
532,,,,,A4Tech Bloody Q135 Illuminating Gaming Keyboard,https://www.ishopping.pk/a4tech-bloody-q135-gaming-keyboard-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_bloody_q135_rgb_gaming_keyboard.jpg,Accessories,ishopping,2650,-1
524,,,,,A4Tech ComfortFit Stereo Headset Black (HS-28i),https://www.ishopping.pk/a4tech-comfortfit-stereo-headset-black-hs-28i-afc1-383868.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_comfortfit_stereo_headset_black_hs-28i__1_2.jpg,Accessories,ishopping,1450,-1
838,,,,,A4Tech Multimedia Keyboard Mini Black (KLS-5),https://www.ishopping.pk/a4tech-multimedia-keyboard-mini-black-kls-5-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_multimedia_keyboard_mini_black_kls-5_.jpg,Accessories,ishopping,1350,-1
817,,,,,A4Tech Scroll Mouse Black/Silver (SWW-23),https://www.ishopping.pk/a4tech-scroll-mouse-black-silver-sww-23-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_scroll_mouse_black_silver_sww-23_.jpg,Accessories,ishopping,390,-1
525,,,,,A4tech Bloody V9M 2-Fire Gaming Mouse,https://www.ishopping.pk/a4tech-bloody-v9m-2-fire-gaming-mouse-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/4/a4tech_bloody_v9m_2-fire_gaming_mouse.jpg,Accessories,ishopping,2490,-1
109,109.0,109.0,,,ABN Traders Disposable Dual Sided Eyeshadow Brushes Pack Of 100,https://www.ishopping.pk/abn-traders-dual-sided-eyeshadow-brushes-pack-of-100-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/b/abn_traders_disposable_dual_sided_eyeshadow_brushes_pack_of_100_new.jpg,Accessories,ishopping,499,350
83,83.0,83.0,,,ABN Traders Facial Face Clean Papers Pack Of 50,https://www.ishopping.pk/abn-traders-facial-face-clean-papers-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/b/abn_traders_facial_face_clean_papers_pack_of_50_new.jpg,Accessories,ishopping,325,175
93,93.0,93.0,,,ABN Traders Makeup Brushes Pink Pack Of 6,https://www.ishopping.pk/abn-traders-makeup-brushes-pink-pack-of-6-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/b/abn_traders_makeup_brushes_pink_pack_of_6.jpg,Accessories,ishopping,1200,750
993,,,,,ADATA 16GB USB 3.1 Type-C OTG Flash Drive,https://www.ishopping.pk/adata-16gb-usb-3-1-type-c-otg-flash-drive-price-in-pakistan-370847.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/d/adata_16gb_usb_3-1_type-c_otg_flash_drive.jpg,Accessories,ishopping,1999,1699
994,,,,,ADATA 64GB USB 3.1 Type-C OTG Flash Drive,https://www.ishopping.pk/adata-64gb-usb-3-1-type-c-otg-flash-drive-price-in-pakistan-370833.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/d/adata_64gb_usb_3-1_type-c_otg_flash_drive.jpg,Accessories,ishopping,3199,2999
618,,,,,ALHAMRA USB Keyboard (3901),https://www.ishopping.pk/alhamra-usb-keyboard-3901-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alhamra_usb_keyboard_3901_.jpg,Accessories,ishopping,1500,760
