Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
60,Beurer Activity Sensor (AS-80C),https://www.ishopping.pk/beurer-electronic-activity-sensor-as-80c-md.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_activity_sensor_as-80c__2.jpg,Activity Trackers,ishopping,4949,-1
61,Beurer Activity Sensor (AS-87),https://www.ishopping.pk/beurer-electronic-activity-sensor-as-87-md.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_activity_sensor_as-87__2.jpg,Activity Trackers,ishopping,5335,-1
59,Beurer Activity Sensor (AS-95 Pulse),https://www.ishopping.pk/beurer-activity-sensor-as-95-pulse-md.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_activity_sensor_as-95_pulse__1.jpg,Activity Trackers,ishopping,7275,-1
70,Beurer Activity Tracker (AS-50),https://www.ishopping.pk/beurer-activity-tracker-as-50.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_electronic_activity_sensor_as-50__1.jpg,Activity Trackers,ishopping,4365,-1
69,Beurer Activity Tracker (AS-80),https://www.ishopping.pk/beurer-activity-tracker-as-80.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_activity_sensor_as-80__3_1.jpg,Activity Trackers,ishopping,4949,-1
68,Beurer Smart Watch Activity Tracker (AW-85),https://www.ishopping.pk/beurer-smart-watch-activity-tracker-aw-85.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_smart_watch_activity_tracker_aw-85_415000_1.jpg,Activity Trackers,ishopping,8949,-1
67,Beurer Snore Stopper (SL-70),https://www.ishopping.pk/beurer-snore-stopper-sl-70.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/beurer_snore_stopper_sl-70__1.jpg,Activity Trackers,ishopping,15520,-1
142,Bewell Mycoach Activity Tracker (BW-F17),https://www.ishopping.pk/bewell-mycoach-activity-tracker-bw-f17-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/bewell-mycoach_activity_tracker_bw-f17_black.jpg,Activity Trackers,ishopping,14999,-1
47,Computer Street VeryFit Activity Tracker,https://www.ishopping.pk/computer-street-veryfit-activity-tracker-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/o/computer_street_veryfit_activity_tracker.jpg,Activity Trackers,ishopping,2689,-1
56,Cool Boy Mart Heart Rate Fitness Tracker Black,https://www.ishopping.pk/cool-boy-mart-heart-rate-fitness-tracker-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/o/cool_boy_mart_heart_rate_fitness_tracker_black.jpg,Activity Trackers,ishopping,2500,-1
