Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
12,Aligee 1080p HD Wifi Satellite Dish Receiver,https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver.jpg,Amplifiers & Receiver,ishopping,3989,-1
8,Aligee 1080p HD Wifi Satellite Dish Receiver (6600D),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-6600d-price-in-pakistan-339589.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_6600d_.jpg,Amplifiers & Receiver,ishopping,3745,-1
7,Aligee 1080p HD Wifi Satellite Dish Receiver (EL-444),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-el-444-price-in-pakistan-339600.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_el-444_.jpg,Amplifiers & Receiver,ishopping,3988,-1
11,Aligee 1080p HD Wifi Satellite Dish Receiver (EL-5300),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-el-5300-price-in-pakistan-339570.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_el-5300_.jpg,Amplifiers & Receiver,ishopping,4090,-1
5,Aligee 1080p HD Wifi Satellite Dish Receiver (HD888),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-hd888-price-in-pakistan-339613.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_hd888_.jpg,Amplifiers & Receiver,ishopping,3850,-1
9,Aligee 1080p HD Wifi Satellite Dish Receiver (MW-1471),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-mw-1471-price-in-pakistan-339582.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_mw-1471_.jpg,Amplifiers & Receiver,ishopping,4255,-1
10,Aligee 1080p HD Wifi Satellite Dish Receiver (SR-1010),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-sr-1010-price-in-pakistan-339580.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_sr-1010_.jpg,Amplifiers & Receiver,ishopping,4145,-1
6,Aligee 1080p HD Wifi Satellite Dish Receiver (ST-6100),https://www.ishopping.pk/aligee-1080p-hd-wifi-satellite-dish-receiver-st-6100-price-in-pakistan-339604.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/aligee_1080p_hd_wifi_satellite_dish_receiver_st-6100_.jpg,Amplifiers & Receiver,ishopping,3985,-1
0,Ferozi Traders USB Bluetooth Music Receiver,https://www.ishopping.pk/ferozi-traders-usb-bluetooth-music-receiver-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/e/ferozi_traders_usb_bluetooth_music_receiver.jpg,Amplifiers & Receiver,ishopping,900,520
1,Sony 2-Channel Stereo Amplifier (XM-N502),https://www.ishopping.pk/sony-2-channel-stereo-amplifier-xm-n502-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_4-channel_stereo_amplifier_xm-n1004__1.jpg,Amplifiers & Receiver,ishopping,9884,-1
