Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
7,Hoorya Collection Pair Of Pearl Payals For Women,https://www.ishopping.pk/hoorya-collection-pair-pearl-payals-women-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/o/hoorya_collection_pair_of_pearl_payals_for_women_1.jpg,Anklets,ishopping,690,-1
9,Hoorya Collection Pearl Payals Anklets For Women Silver,https://www.ishopping.pk/pearl-payals-anklets-or-women-silver.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/o/hoorya_collection_pearl_payals_anklets_for_women_silver.jpg,Anklets,ishopping,590,-1
8,Hoorya Collection Traditional Payal For Women,https://www.ishopping.pk/hoorya-collection-traditional-payal-women-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/o/hoorya_collection_traditional_payal_for_women_1.jpg,Anklets,ishopping,590,-1
3,Kureshi Collections White Jewellery Set & White Payal For Women,https://www.ishopping.pk/kureshi-white-jewellery-set-white-payal-women-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/k/u/kureshi_collections_white_jewellery_set_white_payal_for_women.jpg,Anklets,ishopping,1499,799
35,Rhizmall Abalone Butterfly Anklet For Women - Golden,https://www.ishopping.pk/rhizmall-abalone-butterfly-anklet-for-women-golden.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_abalone_butterfly_anklet_for_women_-_golden_1.jpg,Anklets,ishopping,290,-1
41,Rhizmall Alloy Alvera Anklet For Women - Golden,https://www.ishopping.pk/rhizmall-alloy-alvera-anklet-for-women-golden.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_alloy_alvera_anklet_for_women_-_golden_1.jpg,Anklets,ishopping,290,-1
36,Rhizmall Alloy Alvera Tassel Anklet For Women - Multi-color,https://www.ishopping.pk/rhizmall-alvera-tassel-anklet-women-multi-color.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_alloy_alvera_tassel_anklet_for_women_-_multi-color_1.jpg,Anklets,ishopping,360,-1
40,Rhizmall Alloy Betsey Heart Anklet For Women - Golden,https://www.ishopping.pk/rhizmall-alloy-betsey-heart-anklet-for-women-golden.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_alloy_betsey_heart_anklet_for_women_-_golden_1.jpg,Anklets,ishopping,290,-1
38,Rhizmall Beneta Butterfly Anklet For Women - Silver,https://www.ishopping.pk/rhizmall-beneta-butterfly-anklet-for-women-silver.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_beneta_butterfly_anklet_for_women_-_silver_2.jpg,Anklets,ishopping,290,-1
37,Rhizmall Beneta Heart Anklet For Women - Silver,https://www.ishopping.pk/rhizmall-beneta-heart-anklet-for-women-silver.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/h/rhizmall_beneta_heart_anklet_for_women_-_silver_1.jpg,Anklets,ishopping,290,-1
