Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
13,Baynet 2.4GHz 15dBi Outdoor Omni-Directional Antenna (OM2415),https://www.ishopping.pk/baynet-2-4ghz-15dbi-antenna-om2415-price-in-pakistan-aer1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/baynet_24ghz_15dbi_outdoor_omni-directional_antenna_om2415__1.jpg,Antenna,ishopping,10000,-1
7,TP-Link 2.4G 15dBi 2x2 MIMO Sector Antenna (TL-ANT2415MS),https://www.ishopping.pk/tp-link-2-4g-mimo-sector-antenna-tl-ant2415ms-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4g_15dbi_2x2_mimo_sector_antenna_tl-ant2415ms_.jpg,Antenna,ishopping,18750,-1
5,TP-Link 2.4GHz 10dBi 2x2 MIMO Omni Antenna (TL-ANT2410MO),https://www.ishopping.pk/tp-link-2-4ghz-10dbi-2x2-mimo-antenna-tl-ant2410mo-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_10dbi_2x2_mimo_omni_antenna_tl-ant2410mo_.jpg,Antenna,ishopping,19000,-1
0,TP-Link 2.4GHz 15dBi Outdoor Omni-Directional Antenna (TL-ANT2415D),https://www.ishopping.pk/tp-link-outdoor-antenna-tl-ant2415d-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_15dbi_outdoor_omni-directional_antenna_tl-ant2415d_.jpg,Antenna,ishopping,6600,-1
9,TP-Link 2.4GHz 24dBi 2x2 MIMO Dish Antenna (TL-ANT2424MD),https://www.ishopping.pk/tp-link-2-4ghz-dish-antenna-tl-ant2424md-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_24dbi_2x2_mimo_dish_antenna_tl-ant2424md_.jpg,Antenna,ishopping,20800,-1
1,TP-Link 2.4GHz 24dBi Grid Parabolic Antenna (TL-ANT2424B),https://www.ishopping.pk/tp-link-2-4ghz-grid-antenna-tl-ant2424b-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_24dbi_grid_parabolic_antenna_tl-ant2424b_.jpg,Antenna,ishopping,6400,-1
10,TP-Link 2.4GHz 3dBi Wireless N Desktop Antenna (TL-ANT2403N),https://www.ishopping.pk/tp-link-wireless-desktop-antenna-tl-ant2403n-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_3dbi_wireless_n_desktop_antenna_tl-ant2403n__2.jpg,Antenna,ishopping,1080,-1
11,TP-Link 2.4GHz 5dBi Indoor Omni-Directional Antenna (TL-ANT2405CL),https://www.ishopping.pk/tp-link-indoor-antenna-tl-ant2405cl-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_5dbi_indoor_omni-directional_antenna_tl-ant2405cl_.jpg,Antenna,ishopping,549,-1
12,TP-Link 2.4GHz 8dBi Indoor Desktop Omni-Directional Antenna (TL-ANT2408C),https://www.ishopping.pk/tp-link-indoor-omni-directional-antenna-tl-ant2408c-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_8dbi_indoor_desktop_omni-directional_antenna_tl-ant2408c_.jpg,Antenna,ishopping,1390,-1
4,TP-Link 2.4GHz 9dBi Directional Antenna (TL-ANT2409A),https://www.ishopping.pk/tp-link-directional-antenna-tl-ant2409a-price-in-pakistan-avr1.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link_2.4ghz_9dbi_directional_antenna_tl-ant2409a_.jpg,Antenna,ishopping,3200,-1
