Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
993,3M Car Wash Soap,https://www.ishopping.pk/3m-car-wash-soap-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_car_wash_soap_new.jpg,Automotive & Motorcycles,ishopping,2310,-1
992,3M Chrome and Metal Polish 10 oz,https://www.ishopping.pk/3m-chrome-and-metal-polish-10-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_chrome_and_metal_polish_10_oz_new.jpg,Automotive & Motorcycles,ishopping,2514,-1
988,3M Fuel Injector Cleaner,https://www.ishopping.pk/3m-fuel-injector-cleaner-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_fuel_injector_cleaner_new.jpg,Automotive & Motorcycles,ishopping,1350,-1
996,3M Fuel System Cleaner,https://www.ishopping.pk/3m-fuel-system-cleaner-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_fuel_system_cleaner_new.jpg,Automotive & Motorcycles,ishopping,1434,-1
995,3M Glass Cleaner,https://www.ishopping.pk/3m-glass-cleaner-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_glass_cleaner_new.jpg,Automotive & Motorcycles,ishopping,702,-1
1004,3M High Power Brake Cleaner 14 Oz,https://www.ishopping.pk/3m-high-power-brake-cleaner-14-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_high_power_brake_cleaner_14_oz_new.jpg,Automotive & Motorcycles,ishopping,1092,-1
989,3M Leather and Vinyl Restorer 16 oz,https://www.ishopping.pk/3m-leather-and-vinyl-restorer-16-oz-price-in-pakistan-311001.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_leather_and_vinyl_restorer_16_oz_new.jpg,Automotive & Motorcycles,ishopping,1872,-1
997,3M Mag And Aluminum Polish 10 oz,https://www.ishopping.pk/3m-mag-and-aluminum-polish-10-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_mag_and_aluminum_polish_10_oz_new.jpg,Automotive & Motorcycles,ishopping,3198,-1
1001,3M Micro Fibre Cloth,https://www.ishopping.pk/3m-micro-fibre-cloth-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_micro_fibre_cloth_new.jpg,Automotive & Motorcycles,ishopping,540,-1
1006,3M Multi Purpose Spray Lubricant 10.5 Oz,https://www.ishopping.pk/3m-multi-purpose-spray-lubricant-10-5-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_multi_purpose_spray_lubricant_10_5_oz_new.jpg,Automotive & Motorcycles,ishopping,1236,-1
998,3M Perfect-It Show Car Paste Wax,https://www.ishopping.pk/3m-perfect-it-show-car-paste-wax-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_perfect-it_show_car_paste_wax_new.jpg,Automotive & Motorcycles,ishopping,3198,-1
1003,3M Perfect-It Ultra Soft Cloth Blue,https://www.ishopping.pk/3m-perfect-it-ultra-soft-cloth-blue-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_perfect-it_ultra_soft_cloth_blue_new.jpg,Automotive & Motorcycles,ishopping,624,-1
1002,3M Perfect-It Ultra Soft Cloth Pink,https://www.ishopping.pk/3m-perfect-it-ultra-soft-cloth-pink-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_perfect-it_ultra_soft_cloth_pink_new.jpg,Automotive & Motorcycles,ishopping,624,-1
1005,3M Perfect-It Ultra Soft Cloth Yellow,https://www.ishopping.pk/3m-perfect-it-ultra-soft-cloth-yellow-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_perfect-it_ultra_soft_cloth_yellow_new.jpg,Automotive & Motorcycles,ishopping,624,-1
999,3M Quick Wax 16 Oz,https://www.ishopping.pk/3m-quick-wax-16-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_quick_wax_16_oz_new.jpg,Automotive & Motorcycles,ishopping,1446,-1
1000,3M Scratch Remover,https://www.ishopping.pk/3m-scratch-remover-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_scratch_remover_new.jpg,Automotive & Motorcycles,ishopping,1740,-1
994,3M Sythetic Wax Protectant,https://www.ishopping.pk/3m-sythetic-wax-protectant-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_sythetic_wax_protectant_new.jpg,Automotive & Motorcycles,ishopping,2148,-1
991,3M Wheel And Tire Cleaner,https://www.ishopping.pk/3m-wheel-and-tire-cleaner-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_wheel_and_tire_cleaner_new.jpg,Automotive & Motorcycles,ishopping,1398,-1
990,3M White Grease 10.5 oz,https://www.ishopping.pk/3m-white-grease-10-5-oz-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_white_grease_10_5_oz_new.jpg,Automotive & Motorcycles,ishopping,1116,-1
1199,ABN Traders Car Air Freshener,https://www.ishopping.pk/abn-traders-car-air-freshener-price-in-pakistan-275086.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/b/abn_traders_car_air_freshener_new.jpg,Automotive & Motorcycles,ishopping,950,575
1154,AGM Caddy Car Seat Pocket Catcher Set Of 2,https://www.ishopping.pk/agm-caddy-car-seat-pocket-catcher-set-2-price-in-pakistan-287254.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/g/agm_caddy_car_seat_pocket_catcher_set_of_2.jpg,Automotive & Motorcycles,ishopping,399,-1
1153,AGM Solar Power Car Auto Exhaust Air Vent Cooling Fan,https://www.ishopping.pk/agm-solar-power-car-auto-exhaust-air-cooling-fan-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/g/agm_solar_power_car_auto_exhaust_air_vent_cooling_fan.jpg,Automotive & Motorcycles,ishopping,779,-1
30,ALHAMRA Liquid Cleaner & Wiper With Spray Gun For Glass And Vehicle (0364),https://www.ishopping.pk/alhamra-liquid-cleaner-wiper-spray-gun-glass-vehicle-0364-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alhamra_liquid_cleaner_wiper_with_spray_gun_for_glass_and_vehicle_0364_.jpg,Automotive & Motorcycles,ishopping,350,250
27,ALHAMRA Liquid Cleaner & Wiper With Spray Gun For Glass And Vehicle Blue/White (0367),https://www.ishopping.pk/alhamra-liquid-cleaner-wiper-spray-gun-glass-vehicle-blue-white-0367-price-in-pakistan-376081.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alhamra_liquid_cleaner_wiper_with_spray_gun_for_glass_and_vehicle_blue-white_0367_.jpg,Automotive & Motorcycles,ishopping,350,250
29,ALHAMRA Liquid Cleaner & Wiper With Spray Gun For Glass And Vehicle Green/White (0365),https://www.ishopping.pk/alhamra-liquid-cleaner-wiper-spray-gun-glass-vehicle-green-white-0365-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alhamra_liquid_cleaner_wiper_with_spray_gun_for_glass_and_vehicle_green-white_0365_.jpg,Automotive & Motorcycles,ishopping,350,250
