Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,12 Rules For Life Book,https://www.ishopping.pk/12-rules-for-life-book-price-in-pakistan-383422.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/2/12_rules_for_life_book.jpg,Books & Megazines,ishopping,270,-1
1,Every Breath Book,https://www.ishopping.pk/every-breath-book-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/v/every_breath_book.jpg,Books & Megazines,ishopping,269,-1
2,The Lean Startup Book,https://www.ishopping.pk/the-lean-startup-book-price-in-pakistan-bod1-383415.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_lean_startup_book_2.jpg,Books & Megazines,ishopping,269,-1
3,21 Lessons For The 21st Century Book,https://www.ishopping.pk/21-lessons-for-the-21st-century-book-price-in-pakistan-383411.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/1/21_lessons_for_the_21st_century_book.jpg,Books & Megazines,ishopping,280,-1
4,Escape From Oblivion Book,https://www.ishopping.pk/escape-from-oblivion-book-price-in-pakistan-383409.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/s/escape_from_oblivion_book.jpg,Books & Megazines,ishopping,420,-1
5,Road To Success Book,https://www.ishopping.pk/road-to-success-book-price-in-pakistan-382588.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/o/road_to_success_book.jpg,Books & Megazines,ishopping,270,-1
6,The Girl in Room 105 Book,https://www.ishopping.pk/the-girl-in-room-105-book-price-in-pakistan-382586.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_girl_in_room_105_book.jpg,Books & Megazines,ishopping,270,-1
7,Pakistan Under Siege Book,https://www.ishopping.pk/pakistan-under-siege-book-price-in-pakistan-382584.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/p/a/pakistan_under_siege_book.jpg,Books & Megazines,ishopping,270,-1
8,The Alchemist Book,https://www.ishopping.pk/the-alchemist-book-price-in-pakistan-382210.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_alchemist_book_3.jpg,Books & Megazines,ishopping,270,-1
9,ISIS The State Of Terror Book,https://www.ishopping.pk/isis-the-state-of-terror-book-price-in-pakistan-382206.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isis_the_state_of_terror_book.jpg,Books & Megazines,ishopping,299,-1
10,Reflections Of A Man II Book,https://www.ishopping.pk/reflections-of-a-man-ii-book-price-in-pakistan-382204.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/e/reflections_of_a_man_ii_book.jpg,Books & Megazines,ishopping,299,-1
11,Five Feet Apart Book,https://www.ishopping.pk/five-feet-apart-book-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/i/five_feet_apart_book.jpg,Books & Megazines,ishopping,270,-1
12,One Hundred Years Of Solitude Book,https://www.ishopping.pk/one-hundred-years-of-solitude-book-price-in-pakistan-382194.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/o/n/one_hundred_years_of_solitude_book_2.jpg,Books & Megazines,ishopping,270,-1
