Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Hawks Eye Combat Boots For Men Sand,https://www.ishopping.pk/hawks-eye-combat-boots-for-men-sand-price-in-pakistan-348497.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/hawks_eye_combat_boots_for_men_desert_brown.jpg,Boots,ishopping,1499,-1
1,Hawks Eye Leather Boots For Men Black,https://www.ishopping.pk/hawks-eye-leather-boots-for-men-black-price-in-pakistan-348487.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/hawks_eye_leather_boots_for_men_black.jpg,Boots,ishopping,2499,-1
2,Hawks Eye Leather Combat Boots For Men Brown,https://www.ishopping.pk/hawks-eye-leather-boots-for-men-brown-price-in-pakistan-347416.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/hawks_eye_leather_combat_boots_for_men_brown.jpg,Boots,ishopping,2999,-1
3,Hawks Eye Tactical Boots For Men Desert Brown,https://www.ishopping.pk/hawks-eye-tactical-boots-for-men-desert-brown-price-in-pakistan-347294.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/hawks_eye_tactical_boots_for_men_desert_brown.jpg,Boots,ishopping,1399,-1
4,Marc Kessler Casual Chukka Boots For Men Coffee (MK-SM-0025),https://www.ishopping.pk/marc-kessler-chukka-boots-men-coffee-mk-sm-0025-price-in-pakistan-334655.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/a/marc_kessler_casual_chukka_boots_for_men_coffee_mk-sm-0025_new.jpg,Boots,ishopping,5999,-1
5,Marc Kessler Casual Chukka Boots For Men Grey (MK-SM-0025),https://www.ishopping.pk/marc-kessler-chukka-boots-men-grey-mk-sm-0025-price-in-pakistan-334645.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/a/marc_kessler_casual_chukka_boots_for_men_grey_mk-sm-0025_new.jpg,Boots,ishopping,5999,-1
6,Marc Kessler Casual Chukka Boots For Men Navy (MK-SM-0025),https://www.ishopping.pk/marc-kessler-chukka-boots-men-navy-mk-sm-0025-price-in-pakistan-334634.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/a/marc_kessler_casual_chukka_boots_for_men_navy_mk-sm-0025_new.jpg,Boots,ishopping,5999,-1
7,Marc Kessler Casual Chukka Boots For Men Black (MK-SM-0025),https://www.ishopping.pk/marc-kessler-chukka-boots-men-black-mk-sm-0025-price-in-pakistan-334615.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/a/marc_kessler_casual_chukka_boots_for_men_black_mk-sm-0025_new.jpg,Boots,ishopping,5999,-1
8,REGALE Suede Leather Chukka Boots For Men Coffee (RG-SM-0483),https://www.ishopping.pk/regale-leather-chukka-boots-men-coffee-rg-sm-0483-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/e/regale_suede_leather_chukka_boots_for_men_grey_rg-sm-0483_new.jpg,Boots,ishopping,6999,-1
9,REGALE Double Monks Ankle Boots For Men Coffee (RG-SM-0484),https://www.ishopping.pk/regale-monks-ankle-boots-men-coffee-rg-sm-0484-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/e/regale_double_monks_ankle_boots_for_men_coffee_rg-sm-0484_new.jpg,Boots,ishopping,5999,-1
