,Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,0,Rumpes Shopi Hoodie Shirt For Boys,https://www.ishopping.pk/rumpes-shopi-hoodie-shirt-boys-price-in-pakistan-382605.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/r/u/rumpes_shopi_hoodie_shirt_for_boys.jpg,Boy's Clothing,ishopping,1049,849
1,1,Asaan Buy Aoteman Swimming Suit For Kids Red (1547),https://www.ishopping.pk/asaan-aoteman-suit-kids-red-1547-price-in-pakistan-382149.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asaan_buy_aoteman_swimming_suit_for_kids_red_1547_.jpg,Boy's Clothing,ishopping,1000,700
2,2,Asaan Buy Aoteman Swimming Suit For Kids Blue (1546),https://www.ishopping.pk/asaan-aoteman-suit-kids-blue-1546-price-in-pakistan-382144.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asaan_buy_aoteman_swimming_suit_for_kids_blue_1546_.jpg,Boy's Clothing,ishopping,1000,700
3,3,C-Tees Baby Sleeveless Vests White Pack of 3,https://www.ishopping.pk/c-tees-baby-sleeveless-vests-pack-of-3-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/-/c-tees_baby_sleeveless_vests_white_pack_of_3.jpg,Boy's Clothing,ishopping,245,134
4,4,Asaan Buy Captain America Swimming Suit For Kids Red (1545),https://www.ishopping.pk/asaan-captain-america-suit-kids-red-1545-price-in-pakistan-382142.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asaan_buy_captain_america_swimming_suit_for_kids_red_1545_.jpg,Boy's Clothing,ishopping,1000,700
5,5,Asaan Buy Captain America Swimming Suit For Kids Blue (1544),https://www.ishopping.pk/asaan-captain-america-suit-kids-blue-1544-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asaan_buy_captain_america_swimming_suit_for_kids_blue_1544_.jpg,Boy's Clothing,ishopping,1000,700
6,6,C-Tees Baby 3 Pcs Bodysuits and 6 Pcs Face Towel Pack Of 9,https://www.ishopping.pk/c-tees-baby-bodysuits-face-towel-pack-of-9-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/-/c-tees_baby_3_pcs_bodysuits_and_6_pcs_face_towel_pack_of_9.jpg,Boy's Clothing,ishopping,1150,749
7,7,C-Tees Baby 3 Pcs Underwear and 6 Pcs Face Towel Pack Of 9,https://www.ishopping.pk/c-tees-baby-underwear-face-towel-pack-9-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/-/c-tees_baby_3_pcs_underwear_and_6_pcs_face_towel_pack_of_9.jpg,Boy's Clothing,ishopping,400,149
8,8,C-Tees Baby Body Suits Pack Of 3,https://www.ishopping.pk/c-tees-baby-body-suits-pack-of-3-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/-/c-tees_baby_body_suits_pack_of_3_1.jpg,Boy's Clothing,ishopping,1165,699
9,9,C-Tees Baby Towelling Bibs & Underwear With Face Towel Pack Of 3,https://www.ishopping.pk/c-tees-baby-towelling-bibs-face-towel-pack-of-3-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/-/c-tees_baby_towelling_bibs_underwear_with_face_towel_pack_of_3.jpg,Boy's Clothing,ishopping,599,299
