Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,The Smart Shop Formal Shoes For Men Brown (0543),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-brown-0543-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_brown_0543_.jpg,Formal Shoes,ishopping,3000,1999
1,The Smart Shop Formal Shoes For Men Brown (0542),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-brown-0542-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_brown_0542_.jpg,Formal Shoes,ishopping,3000,1999
2,The Smart Shop Formal Shoes For Men Brown (0541),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-brown-0541-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_brown_0541_.jpg,Formal Shoes,ishopping,3000,1999
3,The Smart Shop Formal Shoes For Men Black (0540),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-black-0540-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_black_0540_.jpg,Formal Shoes,ishopping,3000,1999
4,The Smart Shop Formal Shoes For Men Brown (0538),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-brown-0538-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_brown_0538__1.jpg,Formal Shoes,ishopping,3000,1999
5,The Smart Shop Formal Shoes For Men Brown (AMC1-0438),https://www.ishopping.pk/the-smart-shop-formal-shoes-men-amc1-0438-price-in-pakistan-357665.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/the_smart_shop_formal_shoes_for_men_brown_amc1-0438_.jpg,Formal Shoes,ishopping,3000,2200
6,Bata Formal Shoes For Men (882-9935),https://www.ishopping.pk/bata-formal-shoes-men-882-9935-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/bata_formal_shoes_for_men_882-9935_.jpg,Formal Shoes,ishopping,4499,-1
7,Bata Formal Shoes For Men Black (882-9734),https://www.ishopping.pk/bata-formal-shoes-men-882-9734-price-in-pakistan-356140.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/bata_formal_shoes_for_men_black_882-9734_.jpg,Formal Shoes,ishopping,4499,-1
8,Bata Formal Shoes For Men (882-9055),https://www.ishopping.pk/bata-formal-shoes-men-882-9055-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/bata_formal_shoes_for_men_882-9055_.jpg,Formal Shoes,ishopping,5499,-1
9,Bata Formal Shoes For Men Blue (882-9053),https://www.ishopping.pk/bata-formal-shoes-men-882-9053-price-in-pakistan-356123.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/a/bata_formal_shoes_for_men_blue_882-9053_.jpg,Formal Shoes,ishopping,5499,-1
