Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Calza Toe Ring Leather Kholapuri For Men Black (CZ-BA-0371),https://www.ishopping.pk/calza-toe-ring-kholapuri-men-black-cz-ba-0371-price-in-pakistan-335446.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/a/calza_toe_ring_leather_kholapuri_for_men_black_cz-ba-0371_new.jpg,Khusa & Kolapuri,ishopping,1099,-1
1,Calza Toe Ring Leather Kholapuri For Men Brown (CZ-BA-0371),https://www.ishopping.pk/calza-toe-ring-kholapuri-men-brown-cz-ba-0371-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/a/calza_toe_ring_leather_kholapuri_for_men_brown_cz-ba-0371_new.jpg,Khusa & Kolapuri,ishopping,1099,-1
2,SubKuch Leather Traditional Multani Khusa For Men Brown (UP-0483),https://www.ishopping.pk/subkuch-leather-khusa-men-brown-up-0483-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_brown_up-0483_.jpg,Khusa & Kolapuri,ishopping,3000,2500
3,SubKuch Leather Traditional Multani Khusa For Men Beige (UP-0482),https://www.ishopping.pk/subkuch-leather-khusa-men-beige-up-0482-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_beige_up-0480__2.jpg,Khusa & Kolapuri,ishopping,3000,2500
4,SubKuch Leather Traditional Multani Khusa For Men Black (UP-0481),https://www.ishopping.pk/subkuch-leather-khusa-men-black-up-0481-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_black_up-0481_.jpg,Khusa & Kolapuri,ishopping,3000,2500
5,SubKuch Leather Traditional Multani Khusa For Men Beige (UP-0480),https://www.ishopping.pk/subkuch-leather-khusa-men-beige-up-0480-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_beige_up-0480_.jpg,Khusa & Kolapuri,ishopping,3000,2500
6,SubKuch Leather Traditional Multani Khusa For Men Brown (UP-0479),https://www.ishopping.pk/subkuch-leather-khusa-men-brown-up-0479-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_brown_up-0479_.jpg,Khusa & Kolapuri,ishopping,3000,2500
7,SubKuch Leather Traditional Multani Khusa For Men Brown (UP-0478),https://www.ishopping.pk/subkuch-leather-khusa-men-brown-up-0478-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_brown_up-0478_.jpg,Khusa & Kolapuri,ishopping,3000,2500
8,SubKuch Leather Traditional Multani Khusa For Men Brown (UP-0477),https://www.ishopping.pk/subkuch-leather-multani-khusa-men-brown-up-0477-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_traditional_multani_khusa_for_men_brown_up-0477__1.jpg,Khusa & Kolapuri,ishopping,3000,2500
9,Dealz On Hai Velvet Khussa For Men Black (DOH-196),https://www.ishopping.pk/dealz-on-hai-khussa-men-black-doh-196-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/e/dealz_on_hai_velvet_khussa_for_men_black_doh-196_.jpg,Khusa & Kolapuri,ishopping,1500,799
10,SubKuch Leather Khusa For Men Beige (UP-0147),https://www.ishopping.pk/subkuch-leather-khusa-men-beige-up-0147-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_khusa_for_men_beige_up-0146__1.jpg,Khusa & Kolapuri,ishopping,3000,-1
11,SubKuch Leather Khusa For Men Beige (UP-0146),https://www.ishopping.pk/subkuch-leather-khusa-men-beige-up-0146-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/subkuch_leather_khusa_for_men_beige_up-0146_.jpg,Khusa & Kolapuri,ishopping,3000,-1
