Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Life Demands Portable Bluetooth Mehfil Speaker Black (BT-1303),https://www.ishopping.pk/life-bluetooth-mehfil-speaker-bt-1303-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/i/life_demands_portable_bluetooth_mehfil_speaker_bt-1303_.jpg,Musical Instruments,ishopping,1300,-1
1,M.Mart Wireless Touch Microphone With Bluetooth Speaker,https://www.ishopping.pk/mart-wireless-touch-microphone-bluetooth-speaker-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless_touch_microphone_with_clapping_joy_sound.jpg,Musical Instruments,ishopping,3000,2385
2,M.Mart Microphone With Wireless Bluetooth Black,https://www.ishopping.pk/m-mart-microphone-wireless-bluetooth-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/-/m-mart_microphone_with_wireless_bluetooth_black.jpg,Musical Instruments,ishopping,4000,2549
3,Haani Music Acoustic Guitar String (M170),https://www.ishopping.pk/haani-music-acoustic-guitar-string-m170-price-in-pakistan-328500.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/haani_music_acoustic_guitar_string_m170_.jpg,Musical Instruments,ishopping,1500,-1
4,Haani Music Acoustic Guitar String (Ez900),https://www.ishopping.pk/haani-music-acoustic-guitar-string-ez900-price-in-pakistan-328491.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/a/haani_music_acoustic_guitar_string_ez900_.jpg,Musical Instruments,ishopping,999,-1
5,M Toys 61-Key Electronic Keyboard Piano For Kids,https://www.ishopping.pk/m-toys-61-key-electronic-keyboard-piano-for-kids-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_61-key_electronic_keyboard_piano_for_kids.jpg,Musical Instruments,ishopping,3750,3000
6,M Toys 37-Key Electronic Keyboard - Black,https://www.ishopping.pk/m-toys-37-key-electronic-keyboard-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/_/m_toys_37-key_electronic_keyboard_-_black.jpg,Musical Instruments,ishopping,1850,1480
7,KM Brothers Nylon Guitar Strings,https://www.ishopping.pk/km-brothers-nylon-guitar-strings-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/k/m/km_brothers_nylon_guitar_strings.jpg,Musical Instruments,ishopping,599,495
8,Forbes Store Acoustic Guitar Strings,https://www.ishopping.pk/forbes-store-acoustic-guitar-strings-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_acoustic_guitar_strings.jpg,Musical Instruments,ishopping,1400,-1
9,Forbes Store Marconi 41 inch Acoustic Guitar Blue,https://www.ishopping.pk/forbes-store-marconi-41-acoustic-guitar-blue-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_marconi_41_inch_acoustic_guitar_blue.jpg,Musical Instruments,ishopping,7499,-1
10,Forbes Store String Set Acoustic Guitar (011-050),https://www.ishopping.pk/forbes-store-string-set-acoustic-guitar-011-050-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_string_set_acoustic_guitar_011-050_.jpg,Musical Instruments,ishopping,419,-1
11,Forbes Store Marconi 41 inch Acoustic Guitar Red,https://www.ishopping.pk/forbes-store-marconi-41-acoustic-guitar-red-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_marconi_41_inch_acoustic_guitar_red.jpg,Musical Instruments,ishopping,7499,-1
12,Forbes Store Acoustic Guitar Strings Set (011 - 052),https://www.ishopping.pk/forbes-store-acoustic-guitar-strings-set-011-052-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_acoustic_guitar_strings_set_011_-_052_.jpg,Musical Instruments,ishopping,329,-1
13,Forbes Store 41 inch Marconi Acoustic Guitar Dreadnaught Blond Natural,https://www.ishopping.pk/forbes-store-41-marconi-acoustic-guitar-dreadnaught-blond-natural-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_41_inch_marconi_acoustic_guitar_dreadnaught_blond_natural.jpg,Musical Instruments,ishopping,7999,-1
14,Forbes Store Professional Violin With Hard Case - Black,https://www.ishopping.pk/forbes-store-professional-violin-hard-case-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_professional_violin_with_hard_case_-_black.jpg,Musical Instruments,ishopping,5499,-1
15,Forbes Store G-3Rd Acoustic Guitar String Pack Of 5,https://www.ishopping.pk/forbes-store-g-3rd-acoustic-guitar-string-set-pack-5-strings-price-in-pakistann.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_g-3rd_acoustic_guitar_string_pack_of_5.jpg,Musical Instruments,ishopping,259,-1
16,Forbes Store 41 inch Acoustic Guitar Red,https://www.ishopping.pk/forbes-store-41-acoustic-guitar-red-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_41_inch_acoustic_guitar_red.jpg,Musical Instruments,ishopping,7499,-1
17,Forbes Store Capo For Ukulele Guitar,https://www.ishopping.pk/forbes-store-capo-for-ukulele-guitar-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_capo_for_ukulele_guitar.jpg,Musical Instruments,ishopping,249,-1
18,Forbes Store Marconi 41 inch Acoustic Guitar Red With Bag,https://www.ishopping.pk/forbes-store-marconi-41-acoustic-guitar-red-bag-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_marconi_41_inch_acoustic_guitar_red_with_bag.jpg,Musical Instruments,ishopping,7999,-1
19,"Forbes Store 38"" Acoustic Guitar Full Linden (AKD1-0001)",https://www.ishopping.pk/forbes-38-inch-acoustic-guitar-akd1-0001-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/f/_forbes_store_38_acoustic_guitar_full_linden_.jpg,Musical Instruments,ishopping,5000,-1
20,"Forbes Store 40"" Acoustic Guitar With 3 Picks",https://www.ishopping.pk/40-inch-acoustic-guitar-with-3-picks-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_40_acoustic_guitar_with_3_picks_.jpg,Musical Instruments,ishopping,6999,-1
21,Forbes Store Violin Shoulder Rest for 3/4 AND 4/4 (0082),https://www.ishopping.pk/forbes-store-violin-shoulder-rest-3-4-and-4-4-0082-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_violin_shoulder_rest_for_34_and_44_0082_.jpg,Musical Instruments,ishopping,1450,-1
22,Forbes Store Plastic Capo For Acoustic & Electric Guitar Blue,https://www.ishopping.pk/plastic-capo-acoustic-electric-guitar-blue-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_plastic_capo_for_acoustic_electric_guitar_blue_.jpg,Musical Instruments,ishopping,300,-1
23,"Forbes Store 38"" Acoustic Guitar Bag Black",https://www.ishopping.pk/39-inch-acoustic-guitar-bag-black-price-in-pakista8.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_38_acoustic_guitar_bag_black_.jpg,Musical Instruments,ishopping,470,-1
24,Forbes Store Exl130 Super Light Guitar Strings,https://www.ishopping.pk/forbes-store-exl130-super-light-guitar-strings-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_exl130_super_light_guitar_strings_1.jpg,Musical Instruments,ishopping,589,-1
25,Forbes Store Tuner For Multi Instruments,https://www.ishopping.pk/forbes-store-tuner-multi-instruments-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_tuner_for_multi_instruments_.jpg,Musical Instruments,ishopping,990,-1
26,Forbes Store Capo Aluminum For Acoustic And Electric Guitar Black,https://www.ishopping.pk/capo-aluminum-acoustic-electric-guitar-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_capo_aluminum_for_acoustic_and_electric_guitar_black_.jpg,Musical Instruments,ishopping,450,-1
27,Forbes Store Nickel Plated Steel Wound Electric Guitar Strings Set (09-42),https://www.ishopping.pk/forbes-store-nickel-plated-steel-wound-electric-guitar-strings-set-09-42-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_nickel_plated_steel_wound_electric_guitar_strings_set_09-42_.jpg,Musical Instruments,ishopping,590,-1
28,Forbes Store Alice Violin String Set,https://www.ishopping.pk/forbes-store-alice-violin-string-set-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_alice_violin_string_set_.jpg,Musical Instruments,ishopping,299,-1
29,Forbes Store Plastic Acoustic Guitar Capo With Strap (AKD1-0056),https://www.ishopping.pk/plastic-acoustic-guitar-capo-strap-akd1-0056-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_plastic_acoustic_guitar_capo_with_strap_akd1-0056_.jpg,Musical Instruments,ishopping,379,-1
30,Forbes Store Acoustic Guitar Strings,https://www.ishopping.pk/forbes-store-acoustic-guuitar-strings-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_acoustic_guitar_strings_1.jpg,Musical Instruments,ishopping,800,-1
31,"Forbes Store 38"" Acoustic Guitar Bag For Guitar With Strap Picks",https://www.ishopping.pk/38-inch-acoustic-guitar-bag-guitar-strap-picks-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_38_acoustic_guitar_bag_for_guitar_with_strap_picks_.jpg,Musical Instruments,ishopping,670,-1
32,Forbes Store Guitar Picks Multi Color Pack Of 8,https://www.ishopping.pk/guitar-picks-multi-color-pack-of-8-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_guitar_picks_multi_color_pack_of_8_.jpg,Musical Instruments,ishopping,170,-1
33,Forbes Store Professional Violin With Hard Case - Brown,https://www.ishopping.pk/forbes-store-professional-violin-hard-case-brown-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_professional_violin_with_hard_case_-_brown_.jpg,Musical Instruments,ishopping,4799,-1
34,Forbes Store Mandolin Strings Set (010 - 034),https://www.ishopping.pk/forbes-store-mandolin-strings-set-010-034-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_mandolin_strings_set_010_-_034_.jpg,Musical Instruments,ishopping,489,-1
35,Forbes Store Alice Electric Guitar Strings Set (009 - 042),https://www.ishopping.pk/alice-electric-guitar-strings-set-009-042-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_alice_electric_guitar_strings_set_009_-_042_.jpg,Musical Instruments,ishopping,420,-1
36,Forbes Store Cutaway Linden Body Acoustic Guitar 40 Inch Sunburst,https://www.ishopping.pk/forbes-store-linden-body-acoustic-guitar-40-inch-sunburst-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_cutaway_linden_body_acoustic_guitar_40_inch_sunburst.jpg,Musical Instruments,ishopping,6999,-1
37,"Forbes Store 38"" Guitar With Bag Strap Picks (AKD1-0005)",https://www.ishopping.pk/forbes-store-38-inch-guitar-with-bag-strap-picks-akd1-0005-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_38_guitar_with_bag_strap_picks_akd1-0005_.jpg,Musical Instruments,ishopping,5000,-1
38,"Forbes Store 41"" Acoustic Guitar Bag Black",https://www.ishopping.pk/41-inch-acoustic-guitar-bag-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_41_acoustic_guitar_bag_black_.jpg,Musical Instruments,ishopping,490,-1
39,Forbes Store Full Linden 38 inch Acoustic Guitar - Black,https://www.ishopping.pk/forbes-store-full-linden-38-inch-acoustic-guitar-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_full_linden_38_inch_acoustic_guitar_-_black.jpg,Musical Instruments,ishopping,4090,-1
40,Forbes Store Pair Of Maple Drum Stick 5B (AKD1-0013),https://www.ishopping.pk/pair-of-maple-drum-stick-5b-akd1-0013-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_pair_of_maple_drum_stick_5b_akd1-0013_.jpg,Musical Instruments,ishopping,299,-1
41,Forbes Store Alice Guitar Capo - Black,https://www.ishopping.pk/forbes-store-alice-guitar-capo-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/forbes_store_alice_guitar_capo_-_black_.jpg,Musical Instruments,ishopping,499,-1
