Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Apple iTunes Gift Card 50$,https://www.shophive.com/apple-itunes-gift-card-50-dollars,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/9/8/982714173323.jpg,Apple,Shophive,9240,-1
1,Apple iTunes Gift Card 15$,https://www.shophive.com/apple-itunes-gift-card-15,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/9/8/981714056184_sb.jpg,Apple,Shophive,3276,-1
2,Apple iPhone 5S Case Yellow,https://www.shophive.com/apple-iphone-5s-case-yellow,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/y/e/yellow_case.jpeg,Apple,Shophive,4999,1999
3,Apple 5W USB Power Adapter MD810,https://www.shophive.com/apple-5w-usb-power-adapter,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/p/apple_5w_usb_power_adapter_md810_9172.jpg,Apple,Shophive,3627,-1
4,Apple Micro USB to Lightning Adapter MD820,https://www.shophive.com/apple-micro-usb-to-lightning-adapter,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/d/md820apple_micro_usb_to_lightning_adapter_md820.jpg,Apple,Shophive,2417,-1
5,iPad Air Smart Flip Case With Stand Black,https://www.shophive.com/ipad-air-smart-flip-case-with-stand-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/f/mf051.jpg,Apple,Shophive,1499,-1
6,iPad Air Smart Flip Case With Stand Brown,https://www.shophive.com/ipad-air-smart-flip-case-with-stand-brown,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/7/173001ipad_air_brown3.jpg,Apple,Shophive,1499,-1
7,iPad Air Smart Flip Case With Stand Pink,https://www.shophive.com/ipad-air-smart-flip-case-with-stand-pink,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/7/173011ipad_air_pink1.jpg,Apple,Shophive,1499,-1
8,iPad Air Smart Flip Case With Stand Red,https://www.shophive.com/ipad-air-smart-flip-case-with-stand-red,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/7/173021ipad_air_red1.jpg,Apple,Shophive,1499,-1
9,iPad Air Smart Flip Cover Green,https://www.shophive.com/ipad-air-smart-flip-cover-green,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/6/162321ipad_air_orange_adobe_green.jpg,Apple,Shophive,999,499
