Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Philips HD4646/70 Electric Kettle,https://www.shophive.com/philips-hd4646,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/617603philips-hd4646.jpg,Appliances,Shophive,5869,-1
1,Philips HD9220/20 Airfryer,https://www.shophive.com/philips-hd9220-20-airfryer,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/d/hd9220_20-u2p-global-001.png,Appliances,Shophive,34299,-1
2,Haier HDF-385H,https://www.shophive.com/haier-hdf-385hr,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/0/w020120920665617298172_350_1_.jpg,Appliances,Shophive,48449,-1
3,Haier HDF-405SD,https://www.shophive.com/haier-hdf-405sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf-245sd_1.jpg,Appliances,Shophive,43499,-1
4,Haier HDF-285SD,https://www.shophive.com/haier-hdf-285sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf-245sd.jpg,Appliances,Shophive,35799,-1
5,Haier HDF-245SD,https://www.shophive.com/haier-hdf-245sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf_245sd.jpg,Appliances,Shophive,34699,-1
6,Panasonic NI-22AWT,https://www.shophive.com/panasonic-ni-22awt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic_ni_22_awt.jpg,Appliances,Shophive,4499,-1
7,Philips HD6320/20 E-Grill,https://www.shophive.com/philips-hd6320,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philip_shd_6320.jpg,Appliances,Shophive,18913,-1
8,Philips HD4419/20 E-Grill,https://www.shophive.com/philips-hd4419,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/d/hd4419_20-rtp-global-001.png,Appliances,Shophive,22539,-1
9,Haier EB-38100EGS,https://www.shophive.com/haier-eb-38100es,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_eb_38100es.jpg,Appliances,Shophive,20499,-1
10,Dawlance DW-5200,https://www.shophive.com/dawlance-dw-5200,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/e/semi_auto_5200-2.jpg,Appliances,Shophive,17999,-1
11,Dawlance DW-5100,https://www.shophive.com/dawlance-dw-5100,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/d/w/dw-5100.jpg,Appliances,Shophive,12999,-1
