Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Plantronics Voyager Legend UC,https://www.shophive.com/plantronics-voyager-legend-uc,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/v/o/voyager-legend_begder.png,Mobile & Tablets,Shophive,17500,-1
1,Apple iPhone 5S Case Yellow,https://www.shophive.com/apple-iphone-5s-case-yellow,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/y/e/yellow_case.jpeg,Mobile & Tablets,Shophive,4999,1999
2,Micro USB WALL Charger EP310,https://www.shophive.com/sony-ericsson-micro-usb-charger-ep310,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/i/micro_usb_wall_charger_ep310.jpg,Mobile & Tablets,Shophive,199,-1
3,Jabra Extreme 2,https://www.shophive.com/jabra-extreme-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra_extrema.jpg,Mobile & Tablets,Shophive,7199,-1
4,Jabra Wave,https://www.shophive.com/jabra-wave,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra_wave.jpg,Mobile & Tablets,Shophive,7199,-1
5,Jabra HALO 2,https://www.shophive.com/jabra-halo-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabrahalo_2.jpg,Mobile & Tablets,Shophive,10099,-1
6,Jabra Stone 2,https://www.shophive.com/jabra-stone-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra-stone2.jpg,Mobile & Tablets,Shophive,10699,-1
7,Transcend SD 4GB Class 4,https://www.shophive.com/transcend-sd-4gb-class-4,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/a/tarnscend_sd_4_gb.jpg,Mobile & Tablets,Shophive,299,-1
8,Screen Protector for All Samsung Mobiles,https://www.shophive.com/samsung-screen-protectors,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/c/screen-protector_1.png,Mobile & Tablets,Shophive,799,-1
9,HTC Home Charger,https://www.shophive.com/htc-home-charger,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_charger_pakistan.jpg,Mobile & Tablets,Shophive,999,-1
10,USB Car Charger,https://www.shophive.com/usb-car-charger,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/1532910.jpg,Mobile & Tablets,Shophive,899,-1
11,Samsung USB Car Adapter ECA-U21CBEGSTD,https://www.shophive.com/samsung-usb-car-adapter-eca-u21cbegstd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_usb_car_adapter_eca-u21cbegstd.jpg,Mobile & Tablets,Shophive,2499,-1
12,HTC Car Charger,https://www.shophive.com/htc-car-charger,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/_/c_1_3.jpg,Mobile & Tablets,Shophive,999,-1
13,Samsung Galaxy Note 3 Dock ,https://www.shophive.com/samsung-galaxy-note-3-desktop-dock-ee-d200snwegww,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/k/jkl.jpg,Mobile & Tablets,Shophive,6499,-1
14,Samsung Micro USB Data Cable,https://www.shophive.com/samsung-micro-usb-data-cable,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_micro_usb_data_cable.jpg,Mobile & Tablets,Shophive,999,-1
15,Google Nexus Wireless Charger,https://www.shophive.com/google-nexus-wireless-charger,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/158881google_nexus_wireless_charger.jpg,Mobile & Tablets,Shophive,7999,-1
16,Jabra Street 2,https://www.shophive.com/jabra-street-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/0/104351jabra-bt3030-0.jpg,Mobile & Tablets,Shophive,6399,-1
17,Genius LuxePad A120 Wired Keyboard For Android Tablet PCs,https://www.shophive.com/genius-luxepad-a120-wired-keyboard-for-android-tablet-pcs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/e/genius_luxepad_a120_wired_keyboard_for_android_tablet_pcs.jpg,Mobile & Tablets,Shophive,2799,-1
18,Micro HDMI to HDMI Cable,https://www.shophive.com/micro-hdmi-to-hdmi-cable,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/o/motorola-micro-hdmi-to-hdmi-1.jpg,Mobile & Tablets,Shophive,99,-1
19,HTC Data Cable ,https://www.shophive.com/htc-data-cable,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/_/c_1_4.jpg,Mobile & Tablets,Shophive,999,-1
20,Nokia Lumia 900,https://www.shophive.com/nokia-lumia-900,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-lumia_900_1.jpg,Mobile & Tablets,Shophive,39999,-1
21,Jabra Supreme,https://www.shophive.com/jabra-supreme,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra-supreme.jpg,Mobile & Tablets,Shophive,11999,-1
