Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Amazon Gift Card 10$,https://www.shophive.com/amazon-gift-card-10,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/71y4sgwf8fl._sl1500_.jpg,More,Shophive,2352,-1
1,Apple iTunes Gift Card 50$,https://www.shophive.com/apple-itunes-gift-card-50-dollars,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/9/8/982714173323.jpg,More,Shophive,9240,-1
2,Apple iTunes Gift Card 15$,https://www.shophive.com/apple-itunes-gift-card-15,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/9/8/981714056184_sb.jpg,More,Shophive,3276,-1
3,Skype 10$ Prepaid Credit,https://www.shophive.com/skype-10-prepaid-credit,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/k/skype-prepaid-credit-card-usd-10_.png,More,Shophive,2352,-1
4,Omron BP785 10-Series Upper Arm Blood Pressure Monitor,https://www.shophive.com/omron-10-series-upper-arm-blood-pressure-monitor-bp785,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/1/81biy20znzl._sl1500_.jpg,More,Shophive,24999,-1
5,Panasonic EH-ND21-P,https://www.shophive.com/panasonic-eh-nd21-p,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic_eh_nd21.jpg,More,Shophive,2799,-1
6,Panasonic EH-ND52-V,https://www.shophive.com/panasonic-eh-nd52-v,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic-eh-nd52.jpg,More,Shophive,3199,-1
7,Philips HP8230,https://www.shophive.com/philips-hp8230,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philips_hp8230.jpg,More,Shophive,4609,-1
8,Remington D2400 Travel Dryer 1400W,https://www.shophive.com/remington-d2400-travel-dryer-1400w,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/e/remington-hair-dryer-d2400.jpg,More,Shophive,2924,-1
9,Remington Pro 2100 D5015,https://www.shophive.com/remington-pro-2100-d5015,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/e/remington_pro_2100.jpg,More,Shophive,3849,-1
10,Panasonic ES4033 Shaver Washable,https://www.shophive.com/panasonic-es4033-shaver-washable,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic-es4033.jpg,More,Shophive,5399,-1
11,Panasonic ES-SA40-K,https://www.shophive.com/panasonic-es-sa40-k,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic_es_sa40.jpg,More,Shophive,4999,-1
12,Philips AT610/14,https://www.shophive.com/philips-at610,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philips-at610.jpg,More,Shophive,6859,-1
13,Philiphs AT620,https://www.shophive.com/philiphs-at620,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philips_at620.jpg,More,Shophive,7529,-1
14,Panasonic ER-206K,https://www.shophive.com/panasonic-er206k,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic-er206k.jpg,More,Shophive,3649,-1
15,Panasonic ER-217,https://www.shophive.com/panasonic-er-217,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic-er217.jpg,More,Shophive,6499,-1
16,Panasonic ER-GY10-k,https://www.shophive.com/panasonic-er-gy10-k,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic_1.jpg,More,Shophive,4999,-1
17,Remington MPT3000 Smooth & Silky,https://www.shophive.com/remington-mpt3000-smooth-silky,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/3/232395116.jpg,More,Shophive,2099,-1
18,Philips HP6341,https://www.shophive.com/philips-hp6341,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philips-hp6341.jpg,More,Shophive,3933,-1
19,Remington PG6030,https://www.shophive.com/remington-pg6030,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/_/1.png,More,Shophive,4199,-1
20,amazon,https://www.shophive.com/amazon-gift-card-50-dollar,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon-giveaway-giftcard-550x366.jpg,More,Shophive,9240,-1
21,Amazon Gift Card 100$,https://www.shophive.com/amazon-gift-card-100-dollar,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/i/m/image20256.jpg,More,Shophive,17976,-1
22,Apple iTunes Gift Card 25$,https://www.shophive.com/apple-itunes-gift-card-25-dollar,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/1/117821sdf.jpg,More,Shophive,4788,-1
23,Remington S8500 Shine Therapy Straightener,https://www.shophive.com/remington-s8500-shine-therapy-straightener,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/3/1/3142je7n6il.jpg,More,Shophive,7499,-1
24,FitBit Zip Wireless Activity Tracker in Charcoal,https://www.shophive.com/fitbit-zip,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/1/51onlsykril._sl1200_.jpg,More,Shophive,16999,-1
25,"Fitbit One Wireless Activity Plus Sleep Tracker, Black",https://www.shophive.com/fitbit-one,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/i/simple.b-cssdisabled-jpg.he18c7978d0606a4e06c7f0ee07666df4.pack.jpg,More,Shophive,39999,-1
