Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Samsung MicroSD HC 64GB,https://www.shophive.com/samsung-micro-sd-hc-64gb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/7/17424164bg.jpg,Networking & Storage,Shophive,3799,-1
1,Kingston MicroSD 8GB Class 4,https://www.shophive.com/kingston-microsd-8gb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/k/i/kingston-8gb-micro-sd.jpg,Networking & Storage,Shophive,599,-1
2,Transcend SD 4GB Class 4,https://www.shophive.com/transcend-sd-4gb-class-4,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/a/tarnscend_sd_4_gb.jpg,Networking & Storage,Shophive,299,-1
3,TP Link TLSF1005D,https://www.shophive.com/tp-link-tlsf1005d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-sf1005d.jpg,Networking & Storage,Shophive,1999,-1
4,TP Link TL-SG1005D,https://www.shophive.com/tp-link-tl-sg1005d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl-sg1005d.jpg,Networking & Storage,Shophive,3350,-1
5,TP Link TL-SF1016D,https://www.shophive.com/tp-link-tlsf1016d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl-sf1016d.jpg,Networking & Storage,Shophive,6200,-1
6,TP Link TL-PS110U,https://www.shophive.com/tp-link-tl-ps110u,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link-tl-ps110u.jpg,Networking & Storage,Shophive,7250,-1
7,TP Link MC111CS,https://www.shophive.com/tp-link-mc111cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_mc111cs.jpg,Networking & Storage,Shophive,7050,-1
8,TP Link MC112CS,https://www.shophive.com/tp-link-mc112cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_mc112cs.jpg,Networking & Storage,Shophive,7050,-1
9,TP Link MC210CS,https://www.shophive.com/tp-link-mc210cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/c/mc210cs.jpg,Networking & Storage,Shophive,8550,-1
10,TP Link MC110CS,https://www.shophive.com/tp-link-mc110cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/i/link_mc110cs.jpg,Networking & Storage,Shophive,6150,-1
11,TP Link TL-SF1008D,https://www.shophive.com/tp-link-tl-sf1008d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-sf1008d.jpg,Networking & Storage,Shophive,2199,-1
12,TP Link MC200CM,https://www.shophive.com/tp-link-mc200cm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/c/mc200m.jpg,Networking & Storage,Shophive,8300,-1
13,TP Link TL-WN781ND,https://www.shophive.com/tp-link-tl-wn781nd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/n/wn781nd.jpeg,Networking & Storage,Shophive,2325,-1
14,TP Link TL-WN8200ND,https://www.shophive.com/tp-link-tl-wn8200nd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/f/afaswdsf_1.png,Networking & Storage,Shophive,3500,-1
15,TP Link TL-WN851ND,https://www.shophive.com/tp-link-tl-wn851nd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wn851nd-01.jpg,Networking & Storage,Shophive,2625,-1
16,TP Link TL-WN722N,https://www.shophive.com/tp-link-tl-wn722n,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wn722n.jpg,Networking & Storage,Shophive,2430,-1
17,TP Link TG-3269,https://www.shophive.com/tp-link-tg-3269,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tg-3269.jpg,Networking & Storage,Shophive,1575,-1
18,TP Link TG-3468,https://www.shophive.com/tp-link-tg-3468,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tg_3468.jpg,Networking & Storage,Shophive,2430,-1
19,TP Link TL-R470T,https://www.shophive.com/tp-link-tl-r470t,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl_r470t.jpg,Networking & Storage,Shophive,7499,-1
20,TP Link TL-ANT24EC3S,https://www.shophive.com/tp-link-tl-ant24ec3s,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-ant24ec3s.jpg,Networking & Storage,Shophive,2125,-1
21,TP Link TL-WN725N,https://www.shophive.com/tp-link-tl-wn725n,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl-wn725n_2__2.jpg,Networking & Storage,Shophive,2150,-1
22,TP Link TL-WN881ND,https://www.shophive.com/tp-link-tl-wn881nd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wn881nd-01.jpg,Networking & Storage,Shophive,3100,-1
23,TP Link TL-ANT200PT,https://www.shophive.com/tp-link-tl-ant200pt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-ant200pt.jpg,Networking & Storage,Shophive,1800,-1
24,Western Digital My Book Essential 3TB,https://www.shophive.com/western-digital-my-book-essential-3tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/d/wd-mybook-3tb.jpg,Networking & Storage,Shophive,14999,-1
25,Western Digital My Book Essential 4TB-WDBFJK0040HBK,https://www.shophive.com/western-digital-my-book-essential-4tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/e/western_digital_my_book_4tb.jpg,Networking & Storage,Shophive,20999,-1
26,Transcend StoreJet 25M3 2TB,https://www.shophive.com/transcend-storejet-25m3-2tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/i/m/img_402159.jpg,Networking & Storage,Shophive,11999,-1
27,Kingston MicroSD 16GB Class 10,https://www.shophive.com/kingston-microsd-16gb-class-10,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/k/i/kingston_microsd_card_class10_16gb.jpg,Networking & Storage,Shophive,999,-1
28,Kingston MicroSD 32GB Class 10,https://www.shophive.com/kingston-microsd-32gb-class-10,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/i/m/image_preview_3.jpg,Networking & Storage,Shophive,2499,-1
29,Transcend External 1TB Shockproof,https://www.shophive.com/transcend-external-1tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/15779433.jpg,Networking & Storage,Shophive,8499,-1
30,PS Vita Memory Card 8GB,https://www.shophive.com/ps-vita-memory-card-8gb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/711719220398_hi.jpg,Networking & Storage,Shophive,3499,-1
31,Seagate Backup Plus Slim 2TB STDR2000300,https://www.shophive.com/seagate-stdr2000300-2tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/e/seagate-stdr2000300.jpeg,Networking & Storage,Shophive,12500,-1
32,Kingston MicroSD 64GB CLASS 10,https://www.shophive.com/kingston-microsd-64gb-class-10,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/4/64-gb-class-10.jpg,Networking & Storage,Shophive,2499,-1
33,Siyoteam Memory Card Reader,https://www.shophive.com/siyoteam-memory-card-reader,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/a/card_reader_1.jpg,Networking & Storage,Shophive,399,299
34,Tp Link TL-WR841HP,https://www.shophive.com/tp-link-tl-wr841hp,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wr841hp_un_v1-01.jpg,Networking & Storage,Shophive,7999,-1
35,Linksys LGS105 -5Port,https://www.shophive.com/linksys-lgs105,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/g/lgs105_photo01.jpg,Networking & Storage,Shophive,7399,-1
36,Linksys LGS108 -8Port,https://www.shophive.com/linksys-lgs108,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/g/lgs108_photo03_1.jpg,Networking & Storage,Shophive,7999,-1
37,Linksys LGS116 -16Port,https://www.shophive.com/linksys-lgs116,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/g/lgs116p_photo01.jpg,Networking & Storage,Shophive,15999,-1
38,Linksys LGS124- 24Port  ,https://www.shophive.com/linksys-lgs124,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/g/lgs124_photo01.jpg,Networking & Storage,Shophive,21499,-1
39,Seagate Backup Plus Fast 4TB,https://www.shophive.com/seagate-backup-fast-4tb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/e/seagate_backup_plus_fast.jpg,Networking & Storage,Shophive,17999,-1
40,Corsair 3.0 Voyager 32GB CMFVY3A,https://www.shophive.com/corsair-3-0-voyager-32gb-cmfvy3a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/f/v/fv3_short_h_1.jpg,Networking & Storage,Shophive,2599,-1
