Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Razer Tiamat 2.2 V2,https://www.shophive.com/razer-tiamat-2-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_tiamat_2.2.jpg,Video Games,Shophive,12500,-1
1,Nintendo 3DS,https://www.shophive.com/nintendo-3ds,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/n/i/nintendo-3ds-flame-red-holiday.jpg,Video Games,Shophive,26999,-1
2,Nintendo Wii ,https://www.shophive.com/nintendo-wii,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/i/wii-white-black.jpg,Video Games,Shophive,31999,-1
3,Razer Hammerhead Pro In Ear Gaming Headset,https://www.shophive.com/razer-hammerhead-pro-in-ear,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_hammerhead_pro_in_ear.jpg,Video Games,Shophive,9439,-1
4,Razer Tiamat 7.1 V2,https://www.shophive.com/razer-tiamat-7-1,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_tiamat_7.1.jpg,Video Games,Shophive,27500,-1
5,Sony PlayStation 2 Black with M7 Chip,https://www.shophive.com/sony-playstation-2-black-with-m7-chip,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/4/8/4802_2.jpg,Video Games,Shophive,14499,-1
6,Destiny,https://www.shophive.com/destiny,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/d/o/download_4_5.jpg,Video Games,Shophive,3499,-1
7,Watch Dogs PS4,https://www.shophive.com/watch-dogs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/a/watch-dogs-ps4.jpg,Video Games,Shophive,2999,-1
8,Microsoft Reclusa,https://www.shophive.com/microsoft-reclusa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/e/reclusa_main.jpg,Video Games,Shophive,6999,-1
9,Gigabyte GM-M6880,https://www.shophive.com/gigabyte-gm-m6880,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/i/gigabyte_gm-m6880.jpg,Video Games,Shophive,2099,-1
10,Gigabyte M8000X,https://www.shophive.com/gigabyte-m8000x,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/8/m8000x.jpg,Video Games,Shophive,5799,-1
11,Gigabyte M6900,https://www.shophive.com/gigabyte-m6900,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/6/m6900.jpg,Video Games,Shophive,2749,-1
12,Microsoft SideWinder Gaming Mouse,https://www.shophive.com/microsoft-sidewinder-gaming-mouse,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/i/sidewinder.jpg,Video Games,Shophive,6999,-1
13,Microsoft SideWinder X-5,https://www.shophive.com/microsoft-sidewinder-x-5,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/x/5/x5.jpg,Video Games,Shophive,6500,-1
14,Microsoft Habu Gaming Mouse,https://www.shophive.com/microsoft-habu-gaming-mouse,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/i/microsoft_habu_gaming_mouse.jpg,Video Games,Shophive,6600,-1
15,Razer Diamondback,https://www.shophive.com/razer-diamondback,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_diamondback.jpg,Video Games,Shophive,3255,-1
16,Razer Spectre StarCraft II Gaming Mouse,https://www.shophive.com/razer-spectre-starcraft-ii,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_spectre_starcraft_ii.jpg,Video Games,Shophive,6615,-1
17,Razer Naga Molten MMO Gaming Mouse,https://www.shophive.com/razer-naga-molten-mmo,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_naga_molten_mmo.jpg,Video Games,Shophive,10699,-1
18,Razer Naga Hex - Green,https://www.shophive.com/razer-naga-hex-green,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_naga_hex_green.jpg,Video Games,Shophive,10699,-1
19,Razer Naga Hex - Red,https://www.shophive.com/razer-naga-hex-red,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_naga_hex_red.jpg,Video Games,Shophive,10699,-1
20,Razer Goliathus 2013 Control Edition - Soft Gaming Mouse Mat (Extended),https://www.shophive.com/razer-goliathus-control-edition-extended,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/goliathus_2013_extended_1.jpg,Video Games,Shophive,4899,-1
21,Razer Sphex Gaming Grade Desktop Skin,https://www.shophive.com/razer-sphex,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/g/gggggg.jpg,Video Games,Shophive,2149,-1
