,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Philips HD4646/70 Electric Kettle,https://www.shophive.com/philips-hd4646,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/617603philips-hd4646.jpg,"Rs 5,869",None,Appliances,Shophive
1,Philips HD9220/20 Airfryer,https://www.shophive.com/philips-hd9220-20-airfryer,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/d/hd9220_20-u2p-global-001.png,"Rs 34,299",None,Appliances,Shophive
2,Haier HDF-385H,https://www.shophive.com/haier-hdf-385hr,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/w/0/w020120920665617298172_350_1_.jpg,"Rs 48,449",None,Appliances,Shophive
3,Haier HDF-405SD,https://www.shophive.com/haier-hdf-405sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf-245sd_1.jpg,"Rs 43,499",None,Appliances,Shophive
4,Haier HDF-285SD,https://www.shophive.com/haier-hdf-285sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf-245sd.jpg,"Rs 35,799",None,Appliances,Shophive
5,Haier HDF-245SD,https://www.shophive.com/haier-hdf-245sd,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_hdf_245sd.jpg,"Rs 34,699",None,Appliances,Shophive
6,Panasonic NI-22AWT,https://www.shophive.com/panasonic-ni-22awt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/a/panasonic_ni_22_awt.jpg,"Rs 4,499",None,Appliances,Shophive
7,Philips HD6320/20 E-Grill,https://www.shophive.com/philips-hd6320,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/h/philip_shd_6320.jpg,"Rs 18,913",None,Appliances,Shophive
8,Philips HD4419/20 E-Grill,https://www.shophive.com/philips-hd4419,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/d/hd4419_20-rtp-global-001.png,"Rs 22,539",None,Appliances,Shophive
9,Haier EB-38100EGS,https://www.shophive.com/haier-eb-38100es,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/a/haier_eb_38100es.jpg,"Rs 20,499",None,Appliances,Shophive
10,Dawlance DW-5200,https://www.shophive.com/dawlance-dw-5200,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/e/semi_auto_5200-2.jpg,"Rs 17,999",None,Appliances,Shophive
11,Dawlance DW-5100,https://www.shophive.com/dawlance-dw-5100,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/d/w/dw-5100.jpg,"Rs 12,999",None,Appliances,Shophive
12,Haier HWM80-AS,https://www.shophive.com/haier-hwm80-as-semi-automatic,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/0/80.jpg,"Rs 17,499",None,Appliances,Shophive
