,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Nest Cam Indoor Security Camera NC1102ES,https://www.shophive.com/nest-cam-indoor-security-camera,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/4/1435250122000_1163183.jpg,"Rs 34,999",None,Home Automation,Shophive
1,"Nest Protect Battery-Powered Smoke and Carbon Monoxide Alarm (White, 2nd Generation S3000BWES)",https://www.shophive.com/nest-protect-battery-powered-smoke-and-carbon-monoxide-alarm-white-2nd-generation-s3000bwes,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/4/1437510065000_1163857.jpg,"Rs 25,999",None,Home Automation,Shophive
2,Amazon Echo Dot - All New 2nd Generation - Black,https://www.shophive.com/amazon-echo-dot-all-new-2nd-generation-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_dot_-_all_new_2nd_generation_-_black.jpg,"Rs 7,499",None,Home Automation,Shophive
3,Amazon Echo Dot - All New 2nd Generation - White,https://www.shophive.com/amazon-echo-dot-all-new-2nd-generation-white,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_dot_-_all_new_2nd_generation_-_white.jpg,"Rs 9,999",None,Home Automation,Shophive
4,Google Home - Smart Speaker & Home Assistant,https://www.shophive.com/google-home-smart-speaker-home-assistant,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/google_home_-_smart_speaker_home_assistant_colors.jpg,"Rs 20,499",None,Home Automation,Shophive
5,Amazon Echo Connect - Control Your Echo with Voice - (Requires Echo Device),https://www.shophive.com/amazon-echo-connect-control-your-echo-with-voice-requires-echo-device,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_connect_-_control_your_echo_with_voice_-_requires_echo_device_1_.jpg,"Rs 9,499",None,Home Automation,Shophive
6,Amazon Echo 2nd Generation – Charcoal Fabric,https://www.shophive.com/amazon-echo-2nd-generation-charcoal-fabric,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_2nd_generation_charcoal_fabric.jpg,"Rs 21,999",None,Home Automation,Shophive
7,Amazon Echo 2nd Generation – Heather Gray Fabric,https://www.shophive.com/amazon-echo-2nd-generation-heather-gray-fabric,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/e/heather_gray_fabric.jpg,"Rs 21,999",None,Home Automation,Shophive
8,Amazon Echo 2nd Generation – Oak Finish,https://www.shophive.com/amazon-echo-2nd-generation-oak-finish,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_2nd_generation_oak_finish.jpg,"Rs 24,999",None,Home Automation,Shophive
9,Amazon Echo 2nd Generation – Sandstone Fabric,https://www.shophive.com/amazon-echo-2nd-generation-sandstone-fabric,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon_echo_2nd_generation_sandstone_fabric.jpg,"Rs 21,999",None,Home Automation,Shophive
