,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,"Incase 15"" Compact Sleeve in Flight Nylon for MacBook Pro - Navy",https://www.shophive.com/incase-15-compact-sleeve-in-flight-nylon-for-macbook-pro-navy,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/m/hmw12_av3_1_.jpg,"Rs 15,999",None,Laptops & Computers,Shophive
1,"Tucano Older X Apple 15"" - Black/Grey",https://www.shophive.com/tucano-older-x-apple-15-black-grey,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/1/214kjmj4qkl.jpg,"Rs 1,799",None,Laptops & Computers,Shophive
2,Razer Blade Pro 17 RTX 2060,https://www.shophive.com/razer-blade-pro-17,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/r/a/razer_blade_pro_17_rtx_2060_5_.jpg,Call for Price,None,Laptops & Computers,Shophive
3,Tucano Compatto Duffle Travel Bag - Blue,https://www.shophive.com/tucano-compatto-duffle-travel-bag-blue,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/4/1445197817000_1186843_5.jpg,"Rs 3,199",None,Laptops & Computers,Shophive
4,HP Spectre x360 - 15-DF1033DX,https://www.shophive.com/hp-spectre-x360-15-df1033dx,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_spectre_x360_-_15-df1033dx_1_.jpg,"Rs 299,999",None,Laptops & Computers,Shophive
5,Lenovo Yoga C930 Glass - Vibes,https://www.shophive.com/lenovo-yoga-c930-glass-vibes-78788,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/e/lenovo-laptop-yoga-c930-glass-3_1_2.jpg,"Rs 224,999",None,Laptops & Computers,Shophive
6,Lenovo Yoga C930 Glass - Vibes,https://www.shophive.com/lenovo-yoga-c930-glass-vibes,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/e/lenovo-laptop-yoga-c930-glass-3_1.jpg,"Rs 319,999",None,Laptops & Computers,Shophive
7,Lenovo Yoga 920-13IKB,https://www.shophive.com/lenovo-yoga-920-13ikb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/e/lenovo-laptop-yoga-920-16_2.jpg,"Rs 189,999",None,Laptops & Computers,Shophive
8,Lenovo 15.6 ThinkPad T490,https://www.shophive.com/lenovo-15-6-thinkpad-t490,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/e/lenovo_15.6_thinkpad_t490_1_.jpg,"Rs 239,999",None,Laptops & Computers,Shophive
9,HP EliteBook 1050 G1 Notebook 3TN96AV,https://www.shophive.com/hp-elitebook-1050-g1-notebook-3tn96av,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_elitebook_1050_g1_notebook_3tn96av_5_.jpg,"Rs 289,999",None,Laptops & Computers,Shophive
