,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Plantronics Voyager Legend UC,https://www.shophive.com/plantronics-voyager-legend-uc,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/v/o/voyager-legend_begder.png,"Rs 17,500",None,Mobile & Tablets,Shophive
1,Apple iPhone 5S Case Yellow,https://www.shophive.com/apple-iphone-5s-case-yellow,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/y/e/yellow_case.jpeg,"Rs 4,999","Rs 1,999",Mobile & Tablets,Shophive
2,Micro USB WALL Charger EP310,https://www.shophive.com/sony-ericsson-micro-usb-charger-ep310,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/i/micro_usb_wall_charger_ep310.jpg,Rs 199,None,Mobile & Tablets,Shophive
3,Jabra Extreme 2,https://www.shophive.com/jabra-extreme-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra_extrema.jpg,"Rs 7,199",None,Mobile & Tablets,Shophive
4,Jabra Wave,https://www.shophive.com/jabra-wave,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra_wave.jpg,"Rs 7,199",None,Mobile & Tablets,Shophive
5,Jabra HALO 2,https://www.shophive.com/jabra-halo-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabrahalo_2.jpg,"Rs 10,099",None,Mobile & Tablets,Shophive
6,Jabra Stone 2,https://www.shophive.com/jabra-stone-2,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/j/a/jabra-stone2.jpg,"Rs 10,699",None,Mobile & Tablets,Shophive
7,Transcend SD 4GB Class 4,https://www.shophive.com/transcend-sd-4gb-class-4,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/a/tarnscend_sd_4_gb.jpg,Rs 299,None,Mobile & Tablets,Shophive
8,Screen Protector for All Samsung Mobiles,https://www.shophive.com/samsung-screen-protectors,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/c/screen-protector_1.png,Rs 799,None,Mobile & Tablets,Shophive
9,HTC Home Charger,https://www.shophive.com/htc-home-charger,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_charger_pakistan.jpg,Rs 999,None,Mobile & Tablets,Shophive
