,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Samsung MicroSD HC 64GB,https://www.shophive.com/samsung-micro-sd-hc-64gb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/7/17424164bg.jpg,"Rs 3,799",None,Networking & Storage,Shophive
1,Kingston MicroSD 8GB Class 4,https://www.shophive.com/kingston-microsd-8gb,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/k/i/kingston-8gb-micro-sd.jpg,Rs 599,None,Networking & Storage,Shophive
2,Transcend SD 4GB Class 4,https://www.shophive.com/transcend-sd-4gb-class-4,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/a/tarnscend_sd_4_gb.jpg,Rs 299,None,Networking & Storage,Shophive
3,TP Link TLSF1005D,https://www.shophive.com/tp-link-tlsf1005d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-sf1005d.jpg,"Rs 1,999",None,Networking & Storage,Shophive
4,TP Link TL-SG1005D,https://www.shophive.com/tp-link-tl-sg1005d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl-sg1005d.jpg,"Rs 3,350",None,Networking & Storage,Shophive
5,TP Link TL-SF1016D,https://www.shophive.com/tp-link-tlsf1016d,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_tl-sf1016d.jpg,"Rs 6,200",None,Networking & Storage,Shophive
6,TP Link TL-PS110U,https://www.shophive.com/tp-link-tl-ps110u,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp-link-tl-ps110u.jpg,"Rs 7,250",None,Networking & Storage,Shophive
7,TP Link MC111CS,https://www.shophive.com/tp-link-mc111cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_mc111cs.jpg,"Rs 7,050",None,Networking & Storage,Shophive
8,TP Link MC112CS,https://www.shophive.com/tp-link-mc112cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/p/tp_link_mc112cs.jpg,"Rs 7,050",None,Networking & Storage,Shophive
9,TP Link MC210CS,https://www.shophive.com/tp-link-mc210cs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/c/mc210cs.jpg,"Rs 8,550",None,Networking & Storage,Shophive
