,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,HP Color LaserJet CP5225DN CE712A,https://www.shophive.com/hp-color-laserjet-cp5225dn,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c01820913_1560x1144.jpg,"Rs 244,999",None,Printer & Scanners,Shophive
1,HP LaserJet Pro MFP M521DW,https://www.shophive.com/hp-laserjet-pro-mfp-m521dw,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c0358445358.jpg,"Rs 139,999",None,Printer & Scanners,Shophive
2,Plustek OpticBook 3800 Black,https://www.shophive.com/plustek-opticbook-3800-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/6/269332-plustek-opticbook-4800.jpg,"Rs 35,099",None,Printer & Scanners,Shophive
3,Plustek SmartOffice PN2040 Black,https://www.shophive.com/plustek-smartoffice-pn2040-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/p/l/plustek-smartoffice-pn2040-1433-p.jpg,"Rs 30,999",None,Printer & Scanners,Shophive
4,Plustek Opticfilm 7300,https://www.shophive.com/plustek-opticfilm-7300,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/8/783160.jpg,"Rs 23,999",None,Printer & Scanners,Shophive
5,HP 125A Color LaserJet CB541A,https://www.shophive.com/hp-125a-color-laserjet-cb541a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/4/84731u_00779096_1.jpg,"Rs 10,299",None,Printer & Scanners,Shophive
6,HP 125A Color LaserJet CB542A,https://www.shophive.com/hp-125a-color-laserjet-cb542a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/4/84741u_00778240_1.jpg,"Rs 10,299",None,Printer & Scanners,Shophive
7,HP 125A Color LaserJet CB543A,https://www.shophive.com/hp-125a-color-laserjet-cb543a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/4/847511315018366_1.jpg,"Rs 10,299",None,Printer & Scanners,Shophive
8,HP 307A Cyan Color LaserJet Toner CE740A,https://www.shophive.com/hp-307a-cyan-color-laserjet-toner-ce740a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/5/8506119789.jpg,"Rs 18,999",None,Printer & Scanners,Shophive
9,HP 307A Yellow Color LaserJet Toner CE742A,https://www.shophive.com/hp-307a-yellow-color-laserjet-toner-ce742a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/5/8508119791.jpg,"Rs 36,999",None,Printer & Scanners,Shophive
10,HP 307A Magenta Color LaserJet Toner CE743A,https://www.shophive.com/hp-307a-magenta-color-laserjet-toner-ce743a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/5/8509119792.jpg,"Rs 36,999",None,Printer & Scanners,Shophive
11,HP 503A Color LaserJet Q7583A,https://www.shophive.com/hp-503a-color-laserjet-q7583a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/2/52521q7583a_400x400.jpg,"Rs 10,799",None,Printer & Scanners,Shophive
12,HP 648A Cyan Color LaserJet Toner CE261A,https://www.shophive.com/hp-648a-cyan-color-laserjet-toner-ce261a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_648a_color_laserjet_ce261a.jpg,"Rs 32,499",None,Printer & Scanners,Shophive
13,HP 648A Yellow Color LaserJet Toner CE262A,https://www.shophive.com/hp-648a-yellow-color-laserjet-toner-ce262a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_648a_color_laserjet_ce262a_1.jpg,"Rs 38,999",None,Printer & Scanners,Shophive
14,HP 648A Magenta Color LaserJet Toner CE263A,https://www.shophive.com/hp-648a-magenta-color-laserjet-toner-ce263a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_648a_color_laserjet_ce263a.jpg,"Rs 38,999",None,Printer & Scanners,Shophive
15,HP 824A Color LaserJet CB383A,https://www.shophive.com/hp-824a-color-laserjet-cb383a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_824a_color_laserjet_cb38_2.jpg,"Rs 49,999",None,Printer & Scanners,Shophive
16,HP 05A LaserJet CE505A,https://www.shophive.com/hp-05a-laserjet-ce505a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02842837_390x286.jpg,"Rs 13,999",None,Printer & Scanners,Shophive
17,HP 125A Color LaserJet CB540A,https://www.shophive.com/hp-125a-color-laserjet-cb540a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/4/84721u_00778951_1.jpg,"Rs 10,299",None,Printer & Scanners,Shophive
18,HP 12A LaserJet Q2612A,https://www.shophive.com/hp-12a-laserjet-q2612a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/5/556211727159_ori.jpg,"Rs 9,999",None,Printer & Scanners,Shophive
19,HP 16A LaserJet Q7516A Toner,https://www.shophive.com/hp-16a-laserjet-q7516a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/3/63691cartucho-de-toner-hp-16a-q7.jpg,"Rs 27,999",None,Printer & Scanners,Shophive
20,HP CZ108AA,https://www.shophive.com/hp-cz108aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/z/cz108aa-500x500.jpg,Call for Price,None,Printer & Scanners,Shophive
21,HP CN045AA,https://www.shophive.com/hp-cn045aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02917509.png,"Rs 6,499",None,Printer & Scanners,Shophive
22,HP CN046AA Cyan Ink Cartridge 951XL (CZ107AA) ,https://www.shophive.com/hp-cn046aa-cyan-ink-cartridge-951xl-cz107aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02917309.png,"Rs 5,499",None,Printer & Scanners,Shophive
23,HP 951XL Magenta Ink Cartridge (CN047AA),https://www.shophive.com/hp-951xl-magenta-ink-cartridge-cn047aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/n/cn047aa-500x500.jpg,"Rs 3,349",None,Printer & Scanners,Shophive
24,HP 951XL Yellow Ink Cartridge (CN048AA),https://www.shophive.com/hp-951xl-yellow-ink-cartridge-cn048aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/n/cn048aa-500x500.jpg,"Rs 5,499",None,Printer & Scanners,Shophive
25,HP CN054AA,https://www.shophive.com/hp-cn054aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/n/cn054aa-500x500.jpg,"Rs 3,999",None,Printer & Scanners,Shophive
26,HP CN055AA,https://www.shophive.com/hp-cn055aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/n/cn055aa-500x500.jpg,"Rs 3,999",None,Printer & Scanners,Shophive
27,HP CN056AA,https://www.shophive.com/hp-cn056aa,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/n/cn056aa-500x500.jpg,"Rs 3,999",None,Printer & Scanners,Shophive
28,HP CE270A Black Toner Cartridge CP5525,https://www.shophive.com/hp-ce270a-black-toner-cartridge-cp5525,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02972502.png,"Rs 46,499",None,Printer & Scanners,Shophive
29,HP 650A CE273A Cyan Toner Cartridge CP5525,https://www.shophive.com/hp-650a-ce273a-cyan-toner-cartridge-cp5525,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/e/ce271a.jpg,"Rs 55,999",None,Printer & Scanners,Shophive
30,HP 650A CE272A Yellow Toner Cartridge CP5525,https://www.shophive.com/hp-650a-ce272a-yellow-toner-cartridge-cp5525,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02317124.png,"Rs 55,999",None,Printer & Scanners,Shophive
31,HP 650A CE273A Magenta Toner Cartridge CP5525,https://www.shophive.com/hp-650a-ce273a-magenta-toner-cartridge-cp5525,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02972547.png,"Rs 55,999",None,Printer & Scanners,Shophive
32,HP CE278AD,https://www.shophive.com/hp-ce278ad,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c03522188.png,"Rs 17,499",None,Printer & Scanners,Shophive
33,HP CE310A,https://www.shophive.com/hp-ce310a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02589586.png,"Rs 8,999",None,Printer & Scanners,Shophive
34,HP CE311A,https://www.shophive.com/hp-ce311a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02316890.png,"Rs 8,999",None,Printer & Scanners,Shophive
35,HP CE312A,https://www.shophive.com/hp-ce312a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/e/ce312a.jpg,"Rs 8,999",None,Printer & Scanners,Shophive
36,HP CE313A,https://www.shophive.com/hp-ce313a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02589611.png,"Rs 8,999",None,Printer & Scanners,Shophive
37,HP CE320A,https://www.shophive.com/hp-ce320a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/1/81liqs1vzxl._sx522_.jpg,"Rs 9,999",None,Printer & Scanners,Shophive
38,HP CE321A,https://www.shophive.com/hp-ce321a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02975456.png,"Rs 9,999",None,Printer & Scanners,Shophive
39,HP CE322A,https://www.shophive.com/hp-ce322a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c02975767.png,"Rs 9,499",None,Printer & Scanners,Shophive
40,HP CF325X,https://www.shophive.com/hp-cf325x,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c03609708_1.png,Call for Price,None,Printer & Scanners,Shophive
41,HP CF350A,https://www.shophive.com/hp-cf350a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c03696000_1560x1144.jpg,"Rs 9,499",None,Printer & Scanners,Shophive
42,HP CF352A,https://www.shophive.com/hp-cf352a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c03696227.png,"Rs 9,499",None,Printer & Scanners,Shophive
43,HP CF353A,https://www.shophive.com/hp-cf353a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/f/cf353a-500x500.jpg,"Rs 9,499",None,Printer & Scanners,Shophive
44,HP CF381A,https://www.shophive.com/hp-cf381a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c03855253.png,"Rs 14,999",None,Printer & Scanners,Shophive
45,HP Color LaserJet Enterprise M553N,https://www.shophive.com/hp-color-laserjet-enterprise-m553n,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_color_laserjet_enterprise_m553n_4_.png,"Rs 139,999",None,Printer & Scanners,Shophive
46,HP Color LaserJet Enterprise M553DN,https://www.shophive.com/hp-color-laserjet-enterprise-m553dn,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_color_laserjet_enterprise_m553n_4__1.png,"Rs 214,999",None,Printer & Scanners,Shophive
47,HP LaserJet Pro MFP M426FDN,https://www.shophive.com/hp-laserjet-pro-mfp-m426fdn,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_laserjet_pro_mfp_m426fdn_5_.jpg,"Rs 84,999",None,Printer & Scanners,Shophive
48,HP LaserJet Pro M706N (B6S02A),https://www.shophive.com/hp-laserjet-pro-m706n-b6s02a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_laserjet_pro_m706n_b6s02a_3_.png,"Rs 149,999",None,Printer & Scanners,Shophive
49,HP Color LaserJet Enterprise M750N,https://www.shophive.com/hp-color-laserjet-enterprise-m750n,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_color_laserjet_enterprise_m750n_5_.png,"Rs 424,999",None,Printer & Scanners,Shophive
50,HP Color LaserJet Enterprise M750DN,https://www.shophive.com/hp-color-laserjet-enterprise-m750dn,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_color_laserjet_enterprise_m750dn_2_.png,"Rs 529,999",None,Printer & Scanners,Shophive
51,HP DeskJet 2132 All-in-One Printer (F5S41A),https://www.shophive.com/hp-deskjet-2132-all-in-one-printer-f5s41a,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_deskjet_2132_all-in-one_printer_f5s41a_1_.png,"Rs 6,499",None,Printer & Scanners,Shophive
52,HP Color LaserJet Pro M452nw,https://www.shophive.com/hp-color-laserjet-pro-m452nw,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/0/c04804231.png,"Rs 82,999",None,Printer & Scanners,Shophive
